"","id","tweet","accident_truth","latitude_truth","longitude_truth","street_name_c1","street_name_c2","landmark_c1","landmark_c2"
"19","ma3map_scraped_2718","06:31 There was an accident at Pangani interchange. It has been cleared though the effect will remain so until later this morning via @AderaJacob","Yes",-1.266615,36.834394,"None","None","Pangani interchange","Pangani interchange"
"20","ma3map_scraped_2722","06:23 After Pangani moving well into town.Accident cleared.
Be safe stay safe via @VincentAwange","Yes",NA,NA,"None","None","None","Pangani"
"21","ma3map_scraped_2724","06:20 @NPSOfficial_KE Kiambu Rd kameshikana from Muthaiga......caused by an accident @ Pangani which has since been cleared. .....from there mwendo ni teke teke. via @karuapal","Yes",NA,NA,"Kiambu Rd",NA,"None",NA
"22","ma3map_scraped_2730","06:05 The accident reported at Pangani has caused heavy traffic on Thika Superhighway. The effect is already serious. Expect delays if you are not there yet via @AderaJacob","Yes",NA,NA,"Thika Superhighway","Thika Superhighway","None","Pangani"
"23","ma3map_scraped_2733","05:57 Accident at Pangani. Heavy traffic building up from Muthaiga via @NdunguwaMburu","Yes",NA,NA,"None","None","None","Pangani;Muthaiga"
"24","ma3map_scraped_2736","05:53 Accident just before pangani exchange inbound involving two personal cars. via @samloffee","Yes",-1.270232,36.83662,"None","None","pangani exchange inbound","Pangani Exchange"
"25","ma3map_scraped_2744","21:50 An accident involving a lorry and a personal car- both overturned at the Ruiru bypass. Police already at the scene. A slight traffic snarl up that will be cleared soon. via @exit_smoke","Yes",-1.164116,36.957625,"Ruiru Bypass","Ruiru Bypass","None","None"
"26","ma3map_scraped_2747","21:35 accident alert two vehicles collide and overturn at clay works thika road via @bryaux","Yes",-1.212495,36.903013,"Thika Road","Thika Road","Clayworks","Clayworks"
"27","ma3map_scraped_2757","20:49 Accident Opp Mombasa Cement Sabaki, Involving A saloon Car And 2 FH Trucks via @NtomoDe","Yes",-1.432016,36.962643,"None","None","Mombasa Cement Sabaki","opposite Mombasa cement sabaki"
"28","ma3map_scraped_2758","20:47 Accident on Thika Superhighway just before the Toll Station (weighbridge) towards Nairobi involving Multiple vehicles, drive Carefully via @kibz7671","Yes",-1.13118,36.982201,"Thika Superhighway","Thika Superhighway","Toll station","Toll Station"
"29","ma3map_scraped_2782","19:18 @DHLAfrica Your drivers are driving as if those are ambulances. You transport goods not patients who need emergency services. I have noted this for quite a long time now. Please deal. @NPSOfficial_KE via @AderaJacob","No",NA,NA,NA,NA,NA,NA
"30","ma3map_scraped_2806","18:04 Two narrow minds behind the wheels of a truck &amp; a passenger van, okay, Nissan matatu, fighting for space involved in a minor accident but have blocked the wide Exit 7 Thika Road outbound, opposite Natives. Jam building up. No casualties. No cops. via @mqhlay","Yes",-1.235357,36.872533,"Thika Road",NA,"Natives",NA
"31","ma3map_scraped_2838","16:23 Matatu accident on Waiyaki Way, I had to be a volunteer...thanks @KenyaRedCross for sending an ambulance via @SoniMuiruri","Yes",-999,NA,"Waiyaki Way","Waiyaki Way","None","None"
"32","ma3map_scraped_2842","15:44 You guys were saying that @KeNHAKenya shouldn't tow cars that break down on the highway. A vehicle has stalled at ABC, causing a traffic snarl up as far as Deloitte via @iAmWeru","No",NA,NA,NA,NA,NA,NA
"33","ma3map_scraped_2843","15:43 Accident on waiyaki way at Delta  https://t.co/D4YviS818E via @barronanalo","Yes",-1.265459,36.802701,"Waiyaki Way","Waiyaki Way","Delta","Delta"
"34","ma3map_scraped_2849","15:31 Accident hapo before ufika delta suites waiyaki way on your way from town via @dennosanz","Yes",-1.2624375,36.7661515,"Waiyaki Way","Waiyaki Way","Delta suites","Delta"
"35","ma3map_scraped_2850","15:29 Multiple car accidents just outside HH&amp;M along waiyaki way. Expect traffic build up. via @Ngaruthi","Yes",-1.262408,36.7659785,"Waiyaki Way","Waiyaki Way","HH&M (Hamilton Harrison & Matthews)","HH and Mathews"
"36","ma3map_scraped_2901","09:49 @county_nairobi why didn't th contractor of this road finish their job? It's now an eyesore &amp; health hazard. @MikeSonko  https://t.co/MO4wO4iuXy via @tonynjue","No",NA,NA,NA,NA,NA,NA
"37","ma3map_scraped_2970","03:33 #IamStillAwake but accident at nyayo stadium roundabout! The driver is safe don't use aðŸ“± when driving  https://t.co/2V7XkL8x4c via @litedjlubash","Yes",-1.304861,36.8263315,"None","None","Nyayo stadium roundabout","nyayo stadium roundabout"
"38","ma3map_scraped_2971","02:56 Accident at nyayo roundabout.brakes locked  https://t.co/br9nHVjO9B via @stevoDemosh1","Yes",-1.304861,36.8263315,"None","None","Nyayo roundabout","nyayo stadium roundabout"
"39","ma3map_scraped_2973","23:40 A hit and run body lying on NgongRoad, just near the gate of Impala Club, careful. Have just reported to Police @NPSOfficial_KE  @KenyaRedCross    Law via @jmollel","Yes",-1.300783,36.7691785,"Ngong road","NgongRoad","Impala club","just near the gate of Impala Club"
"40","ma3map_scraped_2975","22:46 A car has hit a lady on Langata Road just after Amref. Police have arrived but Her body is still lying on the road. via @ArchiePhina","Yes",-1.319269,36.810646,"Langata Road","Langata Road","Amref","just after Amref"
"41","ma3map_scraped_2988","18:27 @IdirisAli10 This is the second accident on Mbagathi Way just today! via @brianbright_","Yes",-1.308611,36.804687,"Mbagathi way","Mbagathi way","None","None"
"42","ma3map_scraped_3014","13:16 @KenyaRedCross accident at uthiru jxn Nairobi inbound. Pedestrian knocked down by a speeding car. Could be fatal. via @kareokey","Yes",-1.2606225,36.7168985,"None","None","Uthiru junction","Uthiru Junction"
"43","ma3map_scraped_3018","12:10 @ThikaTowntoday I saw it yesterday day afternoon. Thought it got of the road either by accident or drunk driving via @boazboss","No",NA,NA,NA,"None",NA,"Thika Town"
"44","ma3map_scraped_3032","08:45 @ntsa_kenya @NPSOfficial_KE @PRSA_Roadsafety   This kind of behaviour is what is causing accident along mombasa road every night. The police r aware and no action nor warning to the owners of trucks via @FSiphesihle","No",NA,NA,NA,NA,NA,NA
"45","ma3map_scraped_3056","22:34 Mbagathi road too narrow...... just witnessed one of the Rongai mats slightly overturn at Multimedia Uni..not sure whether there were serious injuries... thanks an ambulance was nearby and helped out... Drivers should be https://t.co/O3epYpu5lm via @brown_wycliffe","Yes",-1.381969,36.770603,"Mbagathi road","Mbagathi road","Multimedia Uni (Multimedia University)","Multimedia University"
"46","ma3map_scraped_3057","22:25 kan503V maroon Peugeot hit and run at kitengela shalom hospital kitengela.. Bodaboda guy badly hit via @Thogoz","Yes",-1.4353885,36.966056,"None","None","Kitengela shalom hospital","kitengela shalom hospital kitengela"
"47","ma3map_scraped_3063","21:57 Massive traffic on Mombasa rd jkia junction towards cbd, several cars involved in an accident via @ngats","Yes",-1.331644,36.888107,"Mombasa rd","Mombasa road","jkia junction (Jomo Kenyatta International Airport junction)","jkia junction"
"48","ma3map_scraped_3069","20:21 VVIPs and emergency vehicles will be allowed to use the BRT via @mutindah","No",NA,NA,NA,NA,NA,NA
"49","ma3map_scraped_3085","18:26 accident along This Road opposite KU main gate. Traffic momentarily stopped but now inner lanes moving.  https://t.co/IBYbHq7oCC via @frenzyied","Yes",-1.181801,36.936968,"Thika Road","None","KU (Kenyatta University)","opposite KU main gate"
"50","ma3map_scraped_3086","18:18 As a people face specific issues exacerbating road crashes...  https://t.co/0jyfEJZXid via @Chomtweet","No",NA,NA,NA,NA,NA,NA
"51","ma3map_scraped_3102","15:48 @KeForestService Punish the destruction of roadside trees in urban areas, that is done by billboard advertisers, then we will know you are serious. See this damage on Langata Road sometime ago  https://t.co/QHhftfjIu8 via @gmosoti","No",NA,NA,NA,NA,NA,NA
"52","ma3map_scraped_3111","13:58 accident at the junction of museum flyover and muthithi road between a xtrail and matatu causing jam via @crimewatch008","Yes",-1.2735535,36.813109,"Muthithi road","muthithi road","Museum flyover","junction of museum flyover"
"53","ma3map_scraped_3112","13:40 Accident At Kambiti , Nairobi Embu highway  https://t.co/gyJAhD54WF via @Kushyknight","Yes",-999,NA,"Nairobi-Embu highway","Nairobi Embu highway","Kambiti","At Kambiti"
"54","ma3map_scraped_3113","13:39 Accident At Kambiti , Nairobi Embu highway  https://t.co/268PoF1oLH via @Kushyknight","Yes",-999,NA,"Nairobi-Embu highway","Naivasha-Nairobi highway","Kambiti","at kambiti"
"55","ma3map_scraped_3116","12:32 accident on mbagathi road at highrise flyover via @NaiyeLoretta","Yes",-1.3141665,36.8075905,"mbagathi road","mbagathi road","highrise flyover","at highrise flyover"
"56","ma3map_scraped_3118","12:13 Mbagathiway accident  https://t.co/qhvaBISbLF via @onlyaterics","Yes",-1.308611,36.804687,"Mbagathi way","Mbagathi way","None","None"
"57","ma3map_scraped_3119","12:09 Slight traffic along Mbagathi fly over towards T.Mall Round about.  Traffic slow but moving.

Reason: Trailer accident. via @brian_aseli","Yes",-1.312359,36.815866,"None",NA,"T.Mall Roundabout",NA
"58","ma3map_scraped_3137","10:45 So quick to come up with bus lanes yet our highways lack emergency lanes. In case of a tire blow out or the driver in brake checks you,, what does one do ? Drive into guard rails or a trench. @KeNHAKenya via @Brian__Sammy","No",NA,NA,NA,NA,NA,NA
"59","ma3map_scraped_3148","10:04 Hit and run.... Bypass between Langata and Olesereni  https://t.co/qNSoDBFfZz via @whyclife","Yes",NA,NA,"Southern Bypass","None","Langata;olesereni","Bypass between Langata and Olesereni"
"60","ma3map_scraped_3150","09:52 @MikeSonko @sirngure Serious accident along eastern bypass involving a Nissan matatu and a personal car  https://t.co/90S9oKIqMl via @Francis66434856","Yes",-999,NA,"Eastern bypass","eastern bypass","None","None"
"61","ma3map_scraped_3160","09:23 @ItsMutai please circulate this. @Safaricom_Care  pick up blocking our workshop gate we called driver too drank to drive still drinking but shouts he can't remove it we TOW it. Arrongant man  https://t.co/ZffkRr2Uz7 via @fmausii2001","No",NA,NA,NA,NA,NA,NA
"62","ma3map_scraped_3169","07:55 Two accidents along magadi rd. At mmu &amp; neat park place via @TeddyGavin","Yes",-1.381969,36.770619,"Magadi rd","magadi road","mmu (Multimedia University)","At mmu"
"63","ma3map_scraped_3192","22:55 Mombasa road GM land locked not moving. Something up ahead I suspect an accident. Will let y'all know nikifika via @JambeeQim","No",NA,NA,NA,NA,NA,NA
"64","ma3map_scraped_3196","22:09 @NPSOfficial_KE @MajimajiKenya   @ntsa_kenya  Nobody listens till accident occurs via @ChangeJatelo","No",NA,NA,NA,NA,NA,NA
"65","ma3map_scraped_3238","20:05 Use service lane from Garden city or safari park towards town there is an accident on the main highway via @sal_gooh","Yes",-1.228848,36.8805195,"Thika Highway","None","Garden city;Safari park","Garden City;safari park"
"66","ma3map_scraped_3263","18:29 Accident at city cabanas, at the start of eastern bypass. Opposite, kobil. Some injuries reported. via @Isaconsultant","Yes",-1.329765,36.890921,"Eastern bypass","eastern bypass","City cabanas","City Cabanas opposite kobil"
"67","ma3map_scraped_3266","18:26 When used, these principles can help motorists avoid head on collisions and accidents. Read the road ahead/Drive to the right/Reduce your speed immediately
/Ride off the road or to the far right of your lane.  https://t.co/TaPYbSKAum via @Chomtweet","No",NA,NA,NA,NA,NA,NA
"68","ma3map_scraped_3276","17:46 @KeNHAKenya very poor signage and safety by the team marking Thika Rd near Muthaiga. Accident waiting to happen. via @kimgathogo","No",NA,NA,NA,NA,NA,NA
"69","ma3map_scraped_3302","16:12 Accident along magadi road at MMU   hill. Lorry has blocked both sides. Drivers using vichaka as long as your car is raised!  https://t.co/hQKX6WXosN via @PrJohnKabira","Yes",-1.3819635,36.7706135,"Magadi road","magadi road","MMU (Multimedia University)","at MMU hill"
"70","ma3map_scraped_3312","15:42 Accident just past Roysambu on Thika Road causing a huge traffic snarl up via @raila_facts","Yes",-1.220258,36.891094,"Thika road","Thika Road","None","Past Royasmbu"
"71","ma3map_scraped_3324","14:35 An accident as you approach weighbridge Thika Rd. A Canter has rammed into a trailer.
Driver being rescued by police and well-wishers. via @ThikaTowntoday","Yes",-1.129622,36.9887095,"Thika Rd","Thika Road","weighbridge","Weighbridge"
"72","ma3map_scraped_3325","14:25 accident on eastern bypass after Army barracks.  https://t.co/DUWrvongBt via @EngErastus","Yes",NA,NA,"Eastern bypass","eastern bypass","Army barracks","army barracks"
"73","ma3map_scraped_3342","12:50 Slight accident on Eastern Bypass near Army Barracks 75. A tipper has spilled ballast on the road. via @NickKattz","Yes",NA,NA,"Eastern bypass","eastern bypass","Army barracks 75","army barracks"
"74","ma3map_scraped_3365","11:36 @accidentsKE There is an accident along Eastern bypass that has involved a lorry carrying sand via @DavidMageto1","Yes",NA,NA,"Eastern bypass","eastern bypass","None","None"
"75","ma3map_scraped_3413","09:12 @KeNHAKenya    so fast speed lane on Thika highway is for buses?They will crisscross from the service lane to this lane?Disaster! via @Anastac1a","No",NA,NA,NA,NA,NA,NA
"76","ma3map_scraped_3440","08:02 @NPSOfficial_KE @PoliceKE There is a miraa probox that passes high point area of Juja everyday at 7.45 am dangerously driven while traffic police are just busy collecting 50 Bob at ndarugu motel. This is a big accident loading.  @EACCKenya via @ThiongoFrancis","No",NA,NA,NA,NA,NA,NA
"77","ma3map_scraped_3480","06:37 @NemaKenya @KeNHAKenya @PoliceKE      Google tiptop construction ltd... they will even give you the company location in CBD ... talk of a monumental disaster. ðŸ¤¦ðŸ½â€â™‚ï¸ via @kinyaori","No",NA,NA,NA,NA,NA,NA
"78","ma3map_scraped_3481","06:27 @allanmadoka @NemaKenya  @PoliceKE         What a disaster in the offing via @doqeiste","No",NA,NA,NA,NA,NA,NA
"79","ma3map_scraped_3508","23:23 the accident reportedly to have happened along jogoo road it has been confirmed the patient was taken to mama Lucy via @EmsKemtru","Yes",-999,NA,"Jogoo road","Joogo road","None","None"
"80","ma3map_scraped_3518","22:08 @PRSA_Roadsafety @emergencymedke     an accident has been  reported along  jogoo road opposite Mogas petrol station.. via @EmsKemtru","Yes",-1.2975705,36.869744,"Jogoo road","Joogo road","Mogas petrol station","opposite mogas petrol station"
"81","ma3map_scraped_3537","20:51 ACCIDENT ALERT Accident Under South C Bridge, Involving An SGA Security Van, Motorbike &amp; A Bicycle. AP Police On Site, Jam Kdogo via @NtomoDe","Yes",NA,NA,"None","None","South C bridge","South C bridge"
"82","ma3map_scraped_3539","20:48 And we now have a dedicated lane for PSVs but none for Emergency Service vehicles like Ambulances and Fire Engines #ThikaRoad via @fndaga","No",NA,NA,NA,NA,NA,NA
"83","ma3map_scraped_3548","20:28 So PSVs will be Criss crossing ""Thika Road"" to access the service lanes to pick and drop passengers? That's a recipe for disaster! via @StevenMburu","No",NA,NA,NA,NA,NA,NA
"84","ma3map_scraped_3564","20:09 #KBS771K @NemaKenya @PoliceKE @Environment_Ke @county_nairobi This is a serious health hazard  https://t.co/qCIJU9QTf3 via @njorogemuigai","No",NA,NA,NA,NA,NA,NA
"85","ma3map_scraped_3604","19:01 Accident alert! Minibus from Machakos, Emmanuel Bus and a lorry along Mombasa Road near Maanzoni Lodge. via @ItsWa_Kabera","Yes",-1.504949,37.090503,"Mombasa road","Mombasa Road","Maanzoni lodge","Near Maanzoni Lodge"
"86","ma3map_scraped_3628","18:23 @KeNHAKenya : cross the road at designated points to avoid accidents.
@ntsa_kenya Be safe, use zebra crossings
@MikeSonko County has provided safe crossing points
.
. KENYANS : this looks like a good crossing point.  https://t.co/0acMQu2SXI via @digitalmkenya","No",NA,NA,NA,NA,NA,NA
"87","ma3map_scraped_3631","18:14 @accidentsKE Accident next to south c overpass. Near twinstar building. A motorbike has been hit by cash on transist van. via @NdambukiDickson","Yes",-999,NA,"None","None","South C overpass","south C overpass"
"88","ma3map_scraped_3670","17:34 There is no BRT in Kenya. This is another PR stunt, just like the big four agenda. Wait for a highly publicized launch of the same, with Kenya mpya &amp; 10 passenger matatus in tow. via @serede","No",NA,NA,NA,NA,NA,NA
"89","ma3map_scraped_3692","16:57 accident along jogoo road at church army #Goteana #kissdrive #1fmdrivewithcaterira       @theCateRira  https://t.co/TeKgHD6FLO via @PRSA_Roadsafety","Yes",-1.29434,36.853423,"Jogoo road","Joogo road","church army","Near Church Army"
"90","ma3map_scraped_3693","16:48 #Accident on Thika road inbound after Kimbo where service lane merges with highway blocking 2 lanes.   #SaferRoadsKE via @SKKuria","Yes",-1.133148,36.974508,"Thika Road","Thika Road","Kimbo","After Kimbo"
"91","ma3map_scraped_3721","15:10 does this ntsa numbers work coz one calls for more than 2 hours no one picks Call NTSA customer care
+254 709 932 300 +254 20 6632 300
@ntsa_kenya via @goodchance_","No",NA,NA,NA,NA,NA,NA
"92","ma3map_scraped_3732","14:48 Valley Roads' disaster in the waiting. Trees on the main road.  https://t.co/JZgdkL0zZn via @dtorlale","No",NA,NA,NA,NA,NA,NA
"93","ma3map_scraped_3733","14:47 Valley Roads' Disaster in the waiting after trees broke after last week's rains. Saidieni jamaneni!  https://t.co/zqRUVoVWld via @dtorlale","No",NA,NA,NA,NA,NA,NA
"94","ma3map_scraped_3742","14:18 This is what should have been considered during the design phase. Failure to involve relevant proffesionals: urbnan planners and designers. It will be hard but it would have been simple if it was taken care of during design phase. #thikaroad via @kensammoh","No",NA,NA,NA,NA,NA,NA
"95","ma3map_scraped_3745","14:16 Having a designated lane on Thika road with our unruly drivers specifically for Emergency, NYS Bus and International dignitaries will require discipline to work. how many times have matatu drivers followed an ambulance? via @Oyondi_Malik","No",NA,NA,NA,NA,NA,NA
"96","ma3map_scraped_3780","12:08 Animals that stand high on their legs can be a hazard, When hit they roll onto the bonnet and into the windshield or roof, resulting in extensive damage and serious or fatal injury to the occupants.  https://t.co/Al9Y43MLDl via @Chomtweet","No",NA,NA,NA,NA,NA,NA
"97","ma3map_scraped_3784","11:56 TRANSPORT CS Macharia says one lane on Thika Road to be dedicated to emergency vehicles, NYS buses and visiting leaders. via @fnjiri","No",NA,NA,NA,NA,NA,NA
"98","ma3map_scraped_3791","11:36 a cleaner slashing on Mombasa Rd hit a stone onto a Liquid telcom truck. It's stalled just outside Standard Group creating a small snarl up town bound. via @JustinMugwimi","No",NA,NA,"Mombasa Rd",NA,"Standard Group",NA
"99","ma3map_scraped_3803","10:45 Police bus has broken down along southern bypass.  They don't have even hazard sign to show.  only  a few leafs  on the road. shame.! via @charles_ngenoh","No",NA,NA,NA,NA,NA,NA
"100","ma3map_scraped_3807","10:28 Accident on Eastern Bypass near Mountain Top Publishers causing traffic via @JShihembetsa","Yes",-1.2180455,36.9905205,"Eastern bypass","eastern bypass","Mountain top publishers","Mountain Top Publishers"
"101","ma3map_scraped_3827","09:16 Accident between a twins road sacco matatu and a personal car on waiyaki way at 87 area towards town, slight traffic jam via @Rael_E11","Yes",-1.257969,36.701381,"Waiyaki Way","Waiyaki way","87 area","None"
"102","ma3map_scraped_3838","08:31 Boda Boda still riding against correct traffic direction on Airport North Service lanes resulting in frequent accidents that I witness every month . Please enforce the rules @PoliceKE @FredMatiangi @JamesMacharia_  https://t.co/UVkQoOOQcF via @LawrensLG","No",NA,NA,NA,NA,NA,NA
"103","ma3map_scraped_3843","07:49 Accident at thika superhighway just before juja, jam building up on the highway via @ggkihara1","Yes",NA,NA,"Thika Superhighway","Thika Superhighway","None","juja"
"104","ma3map_scraped_3859","07:12 These tree branches and shrubs falling over onto the descending side of valley road, almost blocking half of it, is a disaster waiting to happen. County authorities need to act pronto on this. I witnesse https://t.co/ljP69cZZey https://t.co/ZtBjonE0nU via @ogoltom","No",NA,NA,NA,NA,NA,NA
"105","ma3map_scraped_3871","06:25 @NPSOfficial_KE Matatus driving on the bike lane between Garden City and Roasters. This is a disaster waiting to happen  https://t.co/mqlWqTxoRZ via @nkinyua","No",NA,NA,NA,NA,NA,NA
"106","ma3map_scraped_3902","19:46 Failure to observe road markings is one of the major causes of road crashes. In most of the crashes where people die, a driver most likely crossed the YELLOW LINE. Every driver must understand the essence of this line.  https://t.co/wjHhLU5zbM via @Chomtweet","No",NA,NA,NA,NA,NA,NA
"107","ma3map_scraped_3915","19:10 can people at least use their indicators when at a junction.
right, left, straight emergency via @_nsongo","No",NA,NA,NA,NA,NA,NA
"108","ma3map_scraped_3930","18:31 accident on Nyerere rd between a bus and a private car, not moving in either directions, AVOID! via @SinaiNomad","Yes",-1.285345,36.814062,"Nyerere rd","Nyerere Road","None","None"
"109","ma3map_scraped_3931","18:31 @ntsa_kenya please look into the matatu's on Mombasa road most especially the ones coming from Machakos. Some of the drivers are quite careless and are the cause of most of the accidents on the road. via @wambuiesther7","No",NA,NA,NA,NA,NA,NA
"110","ma3map_scraped_3936","18:20 some accident involving 2 personal cars at museum hill under pass from town towards westie via @Rael_E11","Yes",-1.274537,36.812092,"None","None","Musuem hill underpass","museum hill"
"111","ma3map_scraped_3969","14:41 @ntsa_kenya @NPSOfficial_KE  The driver of Trailer registration number ZF2257 intentionally pushes motorcycle and the passenger off the road causing body injuries on Mombasa road around 11am  https://t.co/HUYeWyJx2Y via @ochola_simon","No",NA,NA,"Mombasa road",NA,"None",NA
"112","ma3map_scraped_3981","12:41 accident btw Rosters and Allsops on Main highway as you head to town via @EvansKich","Yes",-1.239465,36.869924,"Thika Highway","None","Rosters;Allsops","Rosters and Allsops"
"113","ma3map_scraped_4033","09:28 An accident on Thika rd near NYS via @PeterzMwash","Yes",-1.256305,36.85529,"Thika rd","Thika Road","NYS (National Youth Service)","NYS"
"114","ma3map_scraped_4056","08:39 There is a TREE that Fell on Sunday on Valley Road now only one Lane is Being Used . Please a Vital ACCIDENT IS BECKONING do Something @ntsa_kenya @TrafficAlertsKE @NPSC_KE         #AdelleAndShaffieOnKISS via @IamGMoturi","No",NA,NA,NA,NA,NA,NA
"115","ma3map_scraped_4059","08:37 There is a TREE that Fell on Sunday on Valley Road now only one Lane is Being Used . Please a Vital ACCIDENT IS BECKONING do Something @ntsa_kenya @TrafficAlertsKE @NPSC_KE via @IamGMoturi","No",NA,NA,NA,NA,NA,NA
"116","ma3map_scraped_4063","08:36 There is  TREE that Fell on Sunday on Valley Road now only one Lane is Being Used . Please a Vital ACCIDENT IS BECKONING do Something @ntsa_kenya @PSCU_Digital @TrafficAlertsKE via @IamGMoturi","No",NA,NA,NA,NA,NA,NA
"117","ma3map_scraped_4079","07:57 Disaster waiting to happen, one accident this morning down valley road, the section is now a one way with drivers scrambling for that lane. @KeNHAKenya @MikeSonko     Let us try and salvage the situation https://t.co/lrMO8z1PlK https://t.co/2wzkVC6fS5 via @lwatati","Yes",-1.292466,36.805081,"Valley road","Valley Road","None","None"
"118","ma3map_scraped_4102","07:14 Thereâ€™s an accident involving a small passenger vehicle and a bus at Ngara causing a traffic pile up via @Mukanga","Yes",NA,NA,"None","None","None","Ngara"
"119","ma3map_scraped_4108","07:02 Saw a small accident at GM fly over , rest was okay. via @ellisgakahu","Yes",-1.329642,36.871013,"None","None","GM fly over (General Motors fly over)","GM"
"120","ma3map_scraped_4127","06:32 @MikeSonko @suemc_phee    can someone be tasked with clearing the overhanging fence/trees on valley Road next  as we are precariously courting disaster or better yet let's wait for the disaster and thereafter react. via @Gichamba55","No",NA,NA,NA,NA,NA,NA
"121","ma3map_scraped_4130","06:29 @UsafiriApp both Eastleigh and juja road clear take care road slippery via @GEORGEM34294970","No",NA,NA,NA,NA,NA,NA
"122","ma3map_scraped_4141","06:04 bodaboda guy hit at the roysambu overpass, body lying on the road.cop on site #accidents #saferroadsKE via @NjugunaSteve","Yes",-1.219449,36.891518,"None","None","Roysambu Overpass","Roysambu"
