rowid,tweet,origCategory,Hour,Month,Weekday,Year,date,newCategory
117, Heavy traffic arnd Museum hill area both sides of the road Heavy traffic frm Museu ,traffic,19,10,Thursday,2017,10/19/17,traffic
118, Heavy traffic on Mombasa rd frm Capital Centre 2Imara Daima ,traffic,19,10,Thursday,2017,10/19/17,traffic
119, Go to south b between mater and the shopping centre  ,NA,19,10,Thursday,2017,10/19/17,NA
120, #KCL323C this matatu was driving recklessly on Waiya ,NA,19,10,Thursday,2017,10/19/17,NA
121, Ngong Road jam is for tears! ,traffic,19,10,Thursday,2017,10/19/17,traffic
122," can sonko road be a one way,the ones from buruburu to use outtering road.to ",NA,19,10,Thursday,2017,10/19/17,NA
123," Drivers be warned drive at 30km/hr,An accident at Kinale Along NrbNvsha Highway ",accident,20,10,Thursday,2017,10/19/17,accident
124, I am fearful of Mombasa road I saw a lady almost die today at around 3.10pm.The matatu  ,NA,20,10,Thursday,2017,10/19/17,NA
125," Drive-in super highway blocked by vehicles getting to the service lane.
Style Up. ",NA,20,10,Thursday,2017,10/19/17,NA
126, hakuna stima Ngong Road  ,NA,20,10,Thursday,2017,10/19/17,NA
127, Congrats for lighting Thika road. No more phone snatchers. ,NA,20,10,Thursday,2017,10/19/17,NA
128, How is Thika Road outwards at this hour? I need vto leave town. ,NA,20,10,Thursday,2017,10/19/17,NA
129, The traffic on ngong road ,NA,20,10,Thursday,2017,10/19/17,traffic
130,   we wont sleep today because of fireworks around parklands. It is not right ,NA,20,10,Thursday,2017,10/19/17,NA
131, 20:55   we wont sleep today because of fireworks around parklands. It is not right via ,NA,20,10,Thursday,2017,10/19/17,NA
132, Overheard : Embasava 33 buses that block fedha entrance  don't belong to ordinary pple ,NA,21,10,Thursday,2017,10/19/17,NA
133, It'll be PM Thunderstorms tomorrow in Nairobi! With a high of 26Â°C and a low of 16Â°C. #Weather ,NA,21,10,Thursday,2017,10/19/17,NA
134, pumber to pumber towards heading chiromo.  ,NA,21,10,Thursday,2017,10/19/17,NA
135, Ngong Rd it's been a minute ,NA,21,10,Thursday,2017,10/19/17,NA
136, First of all 2............ four bad accidents between Naivasha and Nairobi. Bad traffic walai. Okokeni wasee. ,accident,22,10,Thursday,2017,10/19/17,accident
136, First of all 2............ four bad accidents between Naivasha and Nairobi. Bad traffic walai. Okokeni wasee. ,accident,22,10,Thursday,2017,10/19/17,traffic
138, There is heavy jam as one heads to Mai maiu. What could be happening? Vehicles using Naivasha route. ,traffic,23,10,Thursday,2017,10/19/17,traffic
139, There are four different grisly accidents  between Naivasha and Nairobi ,accident,23,10,Thursday,2017,10/19/17,accident
140, Standstill at mai mahiu ,NA,23,10,Thursday,2017,10/19/17,NA
141," 23:34 Standstill at mai mahiu 
Via ",NA,23,10,Thursday,2017,10/19/17,NA
142, come slowly hapa southern bypass things ain't good  ,NA,23,10,Thursday,2017,10/19/17,NA
143, 23:56 come slowly hapa southern bypass things ain't good     ,NA,0,10,Friday,2017,10/20/17,NA
144, Heard this happened on the southern bypass ...people drive safely _Ÿ˜•  ,NA,0,10,Friday,2017,10/20/17,NA
145, NTSA wako wapi I'm heading to naks via Langat,NA,0,10,Friday,2017,10/20/17,NA
146, sachangwan  ,NA,4,10,Friday,2017,10/20/17,NA
147," Modern Coast...pathetic services!!
Passengers stranded for 4hrs a ",NA,4,10,Friday,2017,10/20/17,NA
148, Don't drink and drive. It's that simple. ,NA,4,10,Friday,2017,10/20/17,NA
149, Today Nairobi - Cloudy with highs of 23.3Â°C with a 25%   chance of precipitation. Winds variable at 6.4 - 11.3kph.. ,NA,5,10,Friday,2017,10/20/17,NA
150, Accident on Southern Bypass towards Kikuyu  ,accident,6,10,Friday,2017,10/20/17,accident
151, accident at chiromo rd from town ,accident,6,10,Friday,2017,10/20/17,accident
152," Top of the hour feed sponsored by Mugg
&amp; Bean On-The-Move now open TOTAL Limuru Road!Welcome All",NA,7,10,Friday,2017,10/20/17,NA
153, bad accident at chiromo involving a NMOA matatu. Those heading to westlands from town or Kileleshwa use alternative routes ,accident,7,10,Friday,2017,10/20/17,accident
154," this Ruai bound mat would abandon passengers before their destination, rudely behave.Board at your risk ",NA,7,10,Friday,2017,10/20/17,NA
155," Top of the hour feed sponsored by Mugg
&amp; Bean On-The-Move now open TOTAL Limuru Road!Welcome All",NA,8,10,Friday,2017,10/20/17,NA
156, accident alert near icea lion place on chiromo road 105 shuttle minibus overturns ,accident,8,10,Friday,2017,10/20/17,accident
157, Kuna Basi Imeanguka Apa Waiyaki Way Outside Mirage Building Causi ,NA,8,10,Friday,2017,10/20/17,NA
158, Clear Roads. Issa holiday  ,NA,8,10,Friday,2017,10/20/17,NA
159,Happy #MashujaaDay from https://t.co/CWbXQ0Kd5K! https://t.co/TaIoR6VfMs,NA,8,10,Friday,2017,10/20/17,NA
160, PSVs continue to kill and maim under the watchful eye n protection of NTSA and t ,NA,8,10,Friday,2017,10/20/17,NA
161, kagundo Road bound way is okay.  ,NA,8,10,Friday,2017,10/20/17,NA
162, accident at GM stage ,accident,8,10,Friday,2017,10/20/17,accident
163, Msa rd outbound from Panari gradually becoming impassable . A ,NA,9,10,Friday,2017,10/20/17,NA
164, Uhuru Highway Is Clear And There Is Swift Movement ,NA,9,10,Friday,2017,10/20/17,NA
165, True  ,NA,9,10,Friday,2017,10/20/17,NA
166, Traffic Update: The Roads Leading to Uhuru Park are thick and busy ahead of #MashujaaDay ,NA,9,10,Friday,2017,10/20/17,traffic
167, Use the service lanes around Garden City on Thika Rd..There's an accident on the main hig ,accident,10,10,Friday,2017,10/20/17,accident
168, #SisemiKitu  ,NA,11,10,Friday,2017,10/20/17,NA
169, the situation at super Thika highway  ,NA,12,10,Friday,2017,10/20/17,NA
170," mapendano at kastemill roysambu outbound, clear after that. ",NA,13,10,Friday,2017,10/20/17,NA
171, Are people allowed to travel to Tanzania or the road travels are cancelled too ,NA,13,10,Friday,2017,10/20/17,NA
172, â–ˆâ•‘â–ˆâ•‘â–ˆâ•‘â–Œâ•‘ Avoid Highway and use service lane from TRM (out bound) there is an accident near Githurai 45 ,accident,13,10,Friday,2017,10/20/17,accident
173, Where does one board a mat to Kitengela? ,NA,13,10,Friday,2017,10/20/17,NA
175, Thika rd Outbound just b4 Githurai minor accident slowing traffic flow. Use service lane ,accident,13,10,Friday,2017,10/20/17,accident
175, Thika rd Outbound just b4 Githurai minor accident slowing traffic flow. Use service lane ,accident,13,10,Friday,2017,10/20/17,traffic
176, Outering Rd near completion Ngong Rd 2...But Enterprise Rd esp Likoni junction hmmm contractor is a serious joker ,NA,13,10,Friday,2017,10/20/17,NA
178, RCC arent serious how long has it been again na bado ,NA,13,10,Friday,2017,10/20/17,NA
180," a car has plunged into the river or just before on mbagathi way, s ",NA,14,10,Friday,2017,10/20/17,NA
182, Accident involving 5 vehicles along Mombasa Road on  bridge near Syokimau; heavy traffic snarl up. ,accident,14,10,Friday,2017,10/20/17,traffic
182, Accident involving 5 vehicles along Mombasa Road on  bridge near Syokimau; heavy traffic snarl up. ,accident,14,10,Friday,2017,10/20/17,accident
183, please note that your staff at the delicatessen section in Karen are discriminating of black customers. ,NA,15,10,Friday,2017,10/20/17,NA
185," Top of the hour feed sponsored by Mugg
&amp; Bean On-The-Move now open TOTAL Limuru Road!Welcome All",NA,16,10,Friday,2017,10/20/17,NA
186,.celebrates all who struggled for our sovereignty. Let us honor them today &amp; always. How are you markinâ€_ https://t.co/iDmWxLAbJo,NA,16,10,Friday,2017,10/20/17,NA
187," Pouring heavily, drive safely. Wet roads  ",NA,16,10,Friday,2017,10/20/17,NA
189, Accident of forest road   occupants rescued  ,accident,16,10,Friday,2017,10/20/17,accident
190, nasty Accident on forest road  ,accident,17,10,Friday,2017,10/20/17,accident
192, Accident on Forest Road outbound to Thika Road. A pickup truck has overturned. ,accident,17,10,Friday,2017,10/20/17,accident
193, #OnlyInKenya do People throw litter from cars when stopped say they R creating jobs 4 Sanitation Workers ,NA,17,10,Friday,2017,10/20/17,NA
194, ...This is very common especially when so ,NA,17,10,Friday,2017,10/20/17,NA
195, Great idea to copy for Kenya  ,NA,17,10,Friday,2017,10/20/17,NA
196,"    Hio njia mat za ronga, umoiner na kenya mpya zinatumia sawasawa ",NA,18,10,Friday,2017,10/20/17,NA
197, Eastern bypass is a little back up. Traffic past ruai overpass ,NA,18,10,Friday,2017,10/20/17,traffic
200, Frustrated Mombasa passengers at JKIA after it was closed briefly during Mashujaa Day fete.  ,NA,19,10,Friday,2017,10/20/17,NA
201, traffic on Langata road moving well ,NA,6,10,Monday,2017,10/23/17,traffic
202, Langata rd is disastrous ,NA,8,11,Friday,2017,11/10/17,NA
203, Kipande Road traffic in a tweet. _Ÿ™„  ,NA,20,10,Friday,2017,10/20/17,traffic
206, At ngara a personal car just went over the middle pavement connecting highway and side lane. Approach carefully ,NA,22,10,Friday,2017,10/20/17,NA
207, Be a where with  Ngong road jam in the morning   ,traffic,5,10,Saturday,2017,10/21/17,traffic
208, Heavy rain on mombasa road ,rain,5,10,Saturday,2017,10/21/17,rain
209," accident along Mombasa Rd,Airtel Stage(Olesereni).traffic building up,approach area cautiously, no police on site. ",accident,5,10,Saturday,2017,10/21/17,accident
209," accident along Mombasa Rd,Airtel Stage(Olesereni).traffic building up,approach area cautiously, no police on site. ",accident,5,10,Saturday,2017,10/21/17,traffic
210," kiambu road, very wet and slippery..and still continues to pour  ",rain,6,10,Saturday,2017,10/21/17,rain
211, Traffic Update: _Ÿ__ Uhuru Highway at Nyayo stadium is moving well. Exercise caution _ŸŒ§_ŸŒ§  ,NA,7,10,Saturday,2017,10/21/17,traffic
212," no traffic on Thika road, thanks to rain.  ",rain,7,10,Saturday,2017,10/21/17,rain
212," no traffic on Thika road, thanks to rain.  ",rain,7,10,Saturday,2017,10/21/17,traffic
213," Haile Selassie R/about.Visibility is low,with runoffs, please exercise caution_Ÿ_§  ",NA,7,10,Saturday,2017,10/21/17,NA
214, Leo ni siku ya doze hii weather haileti bidii jogoo Rd mvua kwa wingi ata sijui job Leo ama itafanyika ,rain,7,10,Saturday,2017,10/21/17,rain
215," Enterprise moving smoothly take care drivers kuna portholes pale Tetra park ,,, ",NA,7,10,Saturday,2017,10/21/17,accident
217," Traffic Update:_Ÿ__ With Rains in Nairobi, this how Langata Rd is looking this morning.  ",rain,7,10,Saturday,2017,10/21/17,traffic
221, heavy Rainy..... Incident at Zambezi  ,rain,7,10,Saturday,2017,10/21/17,accident
223, Ojijo rd flooded near the museum underpass ....those using the road be careful ,rain,7,10,Saturday,2017,10/21/17,accident
224, Jogoo road is a lake  ,NA,8,10,Saturday,2017,10/21/17,NA
226," Its about time we enforce strict rules on motorbikes, if n ",NA,8,10,Saturday,2017,10/21/17,NA
228, Witnessed more than five minor accident between flyover and Limuru yesterd ,accident,8,10,Saturday,2017,10/21/17,accident
229, Kayole junction jam imeshika due to rains..more vehicles are parked along roadside drive safely ,rain,8,10,Saturday,2017,10/21/17,traffic
230, Nairobi Eastlands #Water on the road  ,NA,8,10,Saturday,2017,10/21/17,NA
231, Wish this water would flow to Ndakaini and Kindaruma its a waste in Nairobi ,NA,8,10,Saturday,2017,10/21/17,NA
233, Near Uchumi Jogoo Rd  ,NA,8,10,Saturday,2017,10/21/17,NA
234,Looking to sell your used car? Find out its current market price at certaintyâ€_ https://t.co/fXSryfNh0l,NA,8,10,Saturday,2017,10/21/17,NA
236, Crazy driving #Water #jam on Bahati along Makadara  ,traffic,8,10,Saturday,2017,10/21/17,traffic
239, Ask wamasaa Sacco rt 110kitengela near easy coach ni soo moja hadi kite  ,NA,8,10,Saturday,2017,10/21/17,NA
240, the driver to this car is shamelessly splashing rain water onto ,rain,8,10,Saturday,2017,10/21/17,rain
241, Current situation at Jogoo rd after heavens opened.  ,NA,8,10,Saturday,2017,10/21/17,NA
242, How is ngong road towards Adams Arcade? ,NA,8,10,Saturday,2017,10/21/17,NA
243,   Let`s see how well u know them  ,NA,8,10,Saturday,2017,10/21/17,NA
245, From roysambu going to town none whatsoever. ,NA,9,10,Saturday,2017,10/21/17,NA
246," With our roads now doubling up as water catchment areas, it is a poor state of affairs for Nairobi's pedestrians. ",NA,9,10,Saturday,2017,10/21/17,NA
250, Jogoo road imegeuka river leo  ,NA,9,10,Saturday,2017,10/21/17,NA
251, eastlando sijui ka tushuke kwa ma3 tuogelee ama  ,NA,9,10,Saturday,2017,10/21/17,NA
252, Jogoo road ni 'swimming pool'status ,NA,9,10,Saturday,2017,10/21/17,NA
253," Attn The Chinese made outering road is clear of flood waters, but this aged  ",rain,9,10,Saturday,2017,10/21/17,rain
254, a video on how jogoo road is at Uchimi and the entrance of  ,NA,9,10,Saturday,2017,10/21/17,NA
255, there is a new seasonal lake in Nairobi.. Lake Jogoo Road. something shoul ,NA,9,10,Saturday,2017,10/21/17,NA
256, Uhuru highway moving smoothly ,NA,10,10,Saturday,2017,10/21/17,NA
257, Nairobi. ,NA,10,10,Saturday,2017,10/21/17,NA
258," westlands Woodvale Avenue, waaah tuko Bundalangi ward of Nairobi county  ",NA,10,10,Saturday,2017,10/21/17,NA
259, You can now swim on Thika road! _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚  ,NA,10,10,Saturday,2017,10/21/17,NA
260, how much fare do I need to travel from town to syokimau.... ,NA,10,10,Saturday,2017,10/21/17,NA
263, Police Check at Mangu High. Hopefully theyâ€™ll enforce keep left rule. ,NA,11,10,Saturday,2017,10/21/17,NA
264, The driver of this van is a fool. Pushed me off the road while overtaking me near rund ,NA,11,10,Saturday,2017,10/21/17,NA
265, roads in China are amazing OMG  ,NA,11,10,Saturday,2017,10/21/17,NA
267, and can it be implemented in Kenya ,NA,11,10,Saturday,2017,10/21/17,NA
268, #KCG985Y bad experience with Mololine  ,NA,12,10,Saturday,2017,10/21/17,NA
270, Thank God for rains many roads slippery drive carefully. Look out for flooded sections. Don't risk your life ,rain,12,10,Saturday,2017,10/21/17,rain
271, #UAZ116 Truck has overturned at Mabira Forest.  ,NA,12,10,Saturday,2017,10/21/17,NA
272, Seems to be a bad weekend on transport ..... Esp during this rains be careful as you drive through ,rain,12,10,Saturday,2017,10/21/17,accident
273, Beautiful boulevard of trees being cut down to allow for the ,NA,12,10,Saturday,2017,10/21/17,NA
274," at mUthaiga 100mts from jubilee house kuna lorry rimeanguka and no police seen at the Sean,..................kwa bridge ",NA,12,10,Saturday,2017,10/21/17,NA
275," kasarani mwiki road ,.....,lorry limeanguka no police seen at the S ",NA,13,10,Saturday,2017,10/21/17,NA
276, Githurai buses zitakuweka the other side of Thika Rd alafu youll have to take the foot bridge across ,NA,13,10,Saturday,2017,10/21/17,NA
277," How is police presence along Thika road, way to Kenol ? ",NA,13,10,Saturday,2017,10/21/17,NA
278, Mai mahiu road  ,NA,14,10,Saturday,2017,10/21/17,NA
279, Traffic snarl up hapo pangani from town lorry kwa ditch cops there. ,NA,14,10,Saturday,2017,10/21/17,traffic
280, Dont txt nd drive ,NA,14,10,Saturday,2017,10/21/17,NA
281, mbagathi shida  ,NA,14,10,Saturday,2017,10/21/17,NA
284," a very seroius accident at capital centre outbound msa rd, driver trapped plse help ",accident,14,10,Saturday,2017,10/21/17,accident
285," Accident near Capital Centre Outbound,  traffic building up from KIMC.. ",accident,14,10,Saturday,2017,10/21/17,accident
285," Accident near Capital Centre Outbound,  traffic building up from KIMC.. ",accident,14,10,Saturday,2017,10/21/17,traffic
