"","id","tweet","accident_truth","latitude_truth","longitude_truth","street_name_c1","street_name_c2","landmark_c1","landmark_c2"
"23","categorizedTweets11_22_2017_1454","BAD accident at Nice &amp; Lovely just before Cabanas on Msa Rd causing MASSIVE tail back to Mlolongo. Police scene","Yes",-1.349492,36.904508,"Msa Rd","Mombasa Road","Nice & Lovely","Nice & Lovely ;Cabanas ;Mlolongo"
"24","categorizedTweets11_22_2017_1462","Terrible accident near juction airport involving a saloon car that hit a trailer.","Yes",-1.345025,36.902385,"None","None","Junction airport","near juction airport"
"25","categorizedTweets11_22_2017_1463","a minor accident along kiambu rd near cid involving  4 matatus","Yes",-1.24922,36.8471,"Kiambu rd","Kiambu road","cid","CID headquarters"
"26","categorizedTweets11_22_2017_1480","A Toyota wish hit a trailer from behind. It's really really bad accident [Airport junction]","Yes",-1.345025,36.902385,"None","None","Airport junction","Airport junction"
"27","categorizedTweets11_22_2017_1485","Tragic accident along Kiambu road just past ole sidai","Yes",-1.230852,36.8423328,"Kiambu road","Kiambu road","Ole sidai","ole sidai"
"28","categorizedTweets11_22_2017_1488","there is a serious accident on kiambu road past Oleng Sidai.","Yes",-1.23091025,36.84229,"Kiambu road","Kiambu road","Oleng sidai","Oleng Sidai"
"29","categorizedTweets11_22_2017_149","accident at chiromo rd from town","Yes",NA,NA,"Chiromo rd","chiromo road","None","None"
"30","categorizedTweets11_22_2017_1492","nasty accident on Kiambu rd just before Shark place","Yes",-1.130395,36.764859,"Kiambu rd","Kiambu road","Shark place","Shark place"
"31","categorizedTweets11_22_2017_1494","An accident has happened before Rock City on Kiambu Rd involving 3 cars. One guy was d","Yes",-1.238064,36.843913,"Kiambu Rd","Kiambu Road","Rock City","before Rock City"
"32","categorizedTweets11_22_2017_1497","Ambulances needed on Kiambu Rd after 3 cars were involved in accident. People injured, one possibly really bad.","Yes",NA,NA,"Kiambu Rd","Kiambu Road","None","None"
"33","categorizedTweets11_22_2017_1507","that accident along Kiambu road involving 3 vehicles is terrible. Fatalities must be involved. Sad morning","Yes",NA,NA,"Kiambu road","Kiambu road","None","None"
"34","categorizedTweets11_22_2017_151","bad accident at chiromo involving a NMOA matatu. Those heading to westlands from town or Kileleshwa use alternative routes","Yes",NA,NA,"None","chiromo road","None","westlands from town or Kileleshwa"
"35","categorizedTweets11_22_2017_152","this Ruai bound mat would abandon passengers before their destination, rudely behave.Board at your risk","No",NA,NA,"None","None","None","Ruai"
"36","categorizedTweets11_22_2017_1541","Accidents on Thika Road attributed to drunk driving","No",NA,NA,"Thika Road","Thika Road","None","None"
"37","categorizedTweets11_22_2017_1571","Accident ahead at Panari","Yes",-1.3292756,36.8557844,"None","None","Panari","Panari"
"38","categorizedTweets11_22_2017_1577","Just witnessed an accident on Thika Rd. Innalillahi wa inna ilayhi raji'un.","Yes",NA,NA,"Thika Rd","Thika Road","None","None"
"39","categorizedTweets11_22_2017_160","accident at GM stage","Yes",-1.32717,36.870486,"None","None","GM stage","GM stage"
"40","categorizedTweets11_22_2017_161","Msa rd outbound from Panari gradually becoming impassable . A","No",NA,NA,"Msa Rd","Mombasa road","Panari","Panari"
"41","categorizedTweets11_22_2017_162","Uhuru Highway Is Clear And There Is Swift Movement","No",NA,NA,"Uhuru highway","Uhuru Highway","None","None"
"42","categorizedTweets11_22_2017_167","the situation at super Thika highway","No",NA,NA,"Thika Highway","Thika highway","None","None"
"43","categorizedTweets11_22_2017_169","Are people allowed to travel to Tanzania or the road travels are cancelled too","No",NA,NA,"None","None","None","None"
"44","categorizedTweets11_22_2017_171","Where does one board a mat to Kitengela?","No",NA,NA,"None","None","None","None"
"45","categorizedTweets11_22_2017_172","Thika rd Outbound just b4 Githurai minor accident slowing traffic flow. Use service lane","Yes",NA,NA,"Thika rd","Thika road","None","Githurai"
"46","categorizedTweets11_22_2017_173","Outering Rd near completion Ngong Rd 2...But Enterprise Rd esp Likoni junction hmmm contractor is a serious joker","No",NA,NA,"Outering Rd;Ngong Rd;Enterprise Rd","Outering Road ;Ngong Road;Enterprise Road","Likoni junction","Enterprise road-Likoni junction"
"47","categorizedTweets11_22_2017_18","EARLIER :Landhies road into town I wonder if Gov te","No",NA,NA,"Landies road","Landhies road","None","None"
"48","categorizedTweets11_22_2017_180","Pouring heavily, drive safely. Wet roads","No",NA,NA,"None","None","None","None"
"49","categorizedTweets11_22_2017_187","Hio njia mat za ronga, umoiner na kenya mpya zinatumia sawasawa","No",NA,NA,"None","None","None","None"
"50","categorizedTweets11_22_2017_188","Eastern bypass is a little back up. Traffic past ruai overpass","No",NA,NA,"Eastern bypass","Eastern bypass","None","None"
"51","categorizedTweets11_22_2017_1934","Terrible Accident at Muthaiga from town.","Yes",NA,NA,"None","None","None","Muthaiga"
"52","categorizedTweets11_22_2017_194","Be a where with  Ngong road jam in the morning","No",NA,NA,"Ngong road","Ngong road","None","None"
"53","categorizedTweets11_22_2017_195","Heavy rain on mombasa road","No",NA,NA,"mombasa road","mombasa road","None","None"
"54","categorizedTweets11_22_2017_1954","Mombasa Road traffic flowing to Nyayo Stadium save for a small accident near the roundabout","Yes",-1.305319,36.8256,"Mombasa Road","Mombasa Road","Nyayo stadium","Nyayo Stadium roundabout"
"55","categorizedTweets11_22_2017_196","accident along Mombasa Rd,Airtel Stage(Olesereni).traffic building up,approach area cautiously, no police on site.","Yes",-1.325652,36.848763,"Mombasa Rd","Mombasa Rd","Olesereni","Airtel Stage(Olesereni)."
"56","categorizedTweets11_22_2017_1963","Accident near muthaiga on thika superhighway","Yes",NA,NA,"Thika superhighway","thika superhighway","None","muthaiga"
"57","categorizedTweets11_22_2017_198","Traffic Update: _̪__ Uhuru Highway at Nyayo stadium is moving well. Exercise caution _̪�_�__̪�_�_","No",NA,NA,"Uhuru highway","Uhuru Highway","Nyayo stadium","Nyayo stadium"
"58","categorizedTweets11_22_2017_199","no traffic on Thika road, thanks to rain.","No",NA,NA,"Thika road","Thika road","None","None"
"59","categorizedTweets11_22_2017_200","Haile Selassie R/about.Visibility is low,with runoffs, please exercise caution_̪_�_","No",-1.2925935,36.820373,"None","Haile Selassie road","Haile Selassie roundabout","None"
"60","categorizedTweets11_22_2017_201","Leo ni siku ya doze hii weather haileti bidii jogoo Rd mvua kwa wingi ata sijui job Leo ama itafanyika","No",NA,NA,"Jogoo Rd","jogoo Road","None","None"
"61","categorizedTweets11_22_2017_203","Traffic Update:_̪__ With Rains in Nairobi, this how Langata Rd is looking this morning.","No",NA,NA,"Langata Rd","Langata Road","None","None"
"62","categorizedTweets11_22_2017_2049","the jam at Ngomongo is due to an accident btn a driving school car n a personal no casualties as I saw unless otherwise","Yes",NA,NA,"None","None","None","None"
"63","categorizedTweets11_22_2017_2054","serious  accident  on bypass  at ngomongo  area  Juz  before  maruruii","Yes",NA,NA,"None","bypass","None","ngomongo  area  Juz  before  maruruii"
"64","categorizedTweets11_22_2017_210","Nairobi Eastlands #Water on the road","No",NA,NA,"None","None","None","None"
"65","categorizedTweets11_22_2017_2104","Traffic at village market towards town. Slight accident","Yes",-1.228447,36.8046705,"None","None","Village Market","village market"
"66","categorizedTweets11_22_2017_214","Crazy driving #Water #jam on Bahati along Makadara","No",NA,NA,"None","None","None","None"
"67","categorizedTweets11_22_2017_215","Ask wamasaa Sacco rt 110kitengela near easy coach ni soo moja hadi kite","No",NA,NA,"None","None","easy coach","near easy coach"
"68","categorizedTweets11_22_2017_219","Let`s see how well u know them","No",NA,NA,"None","None","None","None"
"69","categorizedTweets11_22_2017_22","Traffic jam at the escarpment heading towards Mai Mahiu!! Standstill.","No",NA,NA,"None","None","None","escarpment heading towards Mai Mahiu"
"70","categorizedTweets11_22_2017_227","there is a new seasonal lake in Nairobi.. Lake Jogoo Road. something shoul","No",NA,NA,"None","Jogoo Road","None","None"
"71","categorizedTweets11_22_2017_230","westlands Woodvale Avenue, waaah tuko Bundalangi ward of Nairobi county","No",NA,NA,"Woodvale Avenue","westlands Woodvale Avenue","None","None"
"72","categorizedTweets11_22_2017_2315","jam on jogoo road from city stadium is caused by an accident past shell petrol station near DC. Drive carefully","Yes",NA,NA,"Jogoo road","jogoo road","city stadium;Shell petrol station near DC","shell petrol station near DC"
"73","categorizedTweets11_22_2017_2319","Slight Accident At Vanillas","Yes",-1.451603,36.968147,"None","None","Vanillas","Vanillas"
"74","categorizedTweets11_22_2017_232","how much fare do I need to travel from town to syokimau....","No",NA,NA,"None","None","None","None"
"75","categorizedTweets11_22_2017_2322","Accident Mombasa road near cabanas .Towards town","Yes",-1.33153,36.888197,"Mombasa road","Mombasa road","Cabanas","cabanas towards town"
"76","categorizedTweets11_22_2017_2329","Accident just happened!! On Kenyatta road as you head to thika.","Yes",NA,NA,"Kenyatta road","Kenyatta road","None","None"
"77","categorizedTweets11_22_2017_233","Police Check at Mangu High. Hopefully they�ۡ���ll enforce keep left rule.","No",NA,NA,"None","None","Mangu High","Mangu High"
"78","categorizedTweets11_22_2017_2330","It is sad to experience deaths through road accidents occurring at the same place over the","No",NA,NA,"None","None","None","None"
"79","categorizedTweets11_22_2017_234","The driver of this van is a fool. Pushed me off the road while overtaking me near rund","No",NA,NA,"None","None","None","None"
"80","categorizedTweets11_22_2017_235","roads in China are amazing OMG","No",NA,NA,"None","None","None","None"
"81","categorizedTweets11_22_2017_237","#KCG985Y bad experience with Mololine","No",NA,NA,"None","None","None","None"
"82","categorizedTweets11_22_2017_238","Thank God for rains many roads slippery drive carefully. Look out for flooded sections. Don't risk your life","No",NA,NA,"None","None","None","None"
"83","categorizedTweets11_22_2017_239","#UAZ116 Truck has overturned at Mabira Forest.","Yes",NA,NA,"None","None","None","Mabira Forest."
"84","categorizedTweets11_22_2017_242","at mUthaiga 100mts from jubilee house kuna lorry rimeanguka and no police seen at the Sean,..................kwa bridge","Yes",NA,NA,"None","None","Jubilee house","Muthaiga 100mts from jubilee house"
"85","categorizedTweets11_22_2017_246","Mai mahiu road","No",NA,NA,"Mai mahiu road","Mai mahiu road","None","None"
"86","categorizedTweets11_22_2017_248","Dont txt nd drive","No",NA,NA,"None","None","None","None"
"87","categorizedTweets11_22_2017_249","mbagathi shida","No",NA,NA,"None","None","None","None"
"88","categorizedTweets11_22_2017_2499","Bad accident on the Kileleshwa RingRoad By pass near St. Austins School Lavington. please help get ambulances here.","Yes",-1.276994,36.77145,"Kileleshwa ringroad","Kileleshwa RingRoad By pass","St. Austins School Lavington","St. Austins School Lavington"
"89","categorizedTweets11_22_2017_25","how is Mombasa Road","No",NA,NA,"Mombasa Road","Mombasa Road","None","None"
"90","categorizedTweets11_22_2017_2513","#KBN391L very reckless driver will cause an accident if not stopped.","No",NA,NA,"None","None","None","None"
"91","categorizedTweets11_22_2017_252","Inbound Mombasa rd is clear till after Nyayo Roundabout","No",NA,NA,"Mombasa rd","Mombasa road","Nyayo roundabout","Nyayo Roundabout"
"92","categorizedTweets11_22_2017_2523","Accident at Ruaka Limuru road-By pass junction. Drive carefully","Yes",NA,NA,"Limuru road","Ruaka -Limuru road","By pass junction","By pass junction"
"93","categorizedTweets11_22_2017_253","Minor accident at Sarit Roundabout.... towards town! Packed!","Yes",-1.261631,36.803432,"None","None","Sarit roundabout","Sarit Roundabout"
"94","categorizedTweets11_22_2017_2555","Totally disappointed. Reported an accident and was ask 1st how i intend to pay","No",NA,NA,"None","None","None","None"
"95","categorizedTweets11_22_2017_2556","Totally disappointed.Reported an accident and was ask 1st how i intend to pay","No",NA,NA,"None","None","None","None"
"96","categorizedTweets11_22_2017_257","when u see Githurai45 buses averaging 55kph frim the normal 110 plus know the roads r s","No",NA,NA,"None","None","None","None"
"97","categorizedTweets11_22_2017_258","NTSA warns matatus against loud music, graffiti, flashy lights","No",NA,NA,"None","None","None","None"
"98","categorizedTweets11_22_2017_2590","American school buses are yellow coz humans see yellow faster than any other color, helps in avoiding accidents","No",NA,NA,"None","None","None","None"
"99","categorizedTweets11_22_2017_260","See this young man unclogging the sewera","No",NA,NA,"None","None","None","None"
"100","categorizedTweets11_22_2017_263","Mbagathi Way to Highrise, Kenyatta Market closed.
40ft container truck being lifted by crane now.
CC","No",NA,NA,"Mbagathi Way","Mbagathi Way","None","Highrise; Kenyatta Market"
"101","categorizedTweets11_22_2017_268","wamasaa Sacco rt 110kitengela via Little Rock Athi river kmc stage","No",NA,NA,"None","None","Little rock Athi river kmc stage","Little Rock Athi river kmc stage"
"102","categorizedTweets11_22_2017_269","""never drive faster than ur angels can fly this weekend "" ma3 drivers shud learn from","No",NA,NA,"None","None","None","None"
"103","categorizedTweets11_22_2017_272","Thika and outering rd &amp; other bypasses were bld to remove jams fro our rds but is never","No",NA,NA,"Thika rd:Outering rd","Thika and outering rd;other bypasses","None","None"
"104","categorizedTweets11_22_2017_2720","accident at kahawa sukari traffic slow","Yes",NA,NA,"None","None","None","kahawa sukari"
"105","categorizedTweets11_22_2017_2729","drive carefully accident along northern bypass near oleserini hotel","Yes",-1.326387,36.84654,"Northern Bypass","northern bypass","Olesereni hotel","oleserini hotel"
"106","categorizedTweets11_22_2017_2733","Gruesome accident ngong road opposite St. Hannas, slow down   may be we also boycott this road","Yes",-1.3002725,36.77473425,"Ngong road","ngong road","St. Hannas","opposite St. Hannas"
"107","categorizedTweets11_22_2017_274","A stalled Lorry near Muthaiga overpass outbound causing slow traffic on superhighway f","No",NA,NA,"None","Thika superhighway","None","Muthaiga"
"108","categorizedTweets11_22_2017_2741","Kuna accident hapa Langata road near sunshine school. Personal car imegonga post ya stima","Yes",-1.32103,36.808702,"Langata Rd","Langata road","sunshine school","near sunshine school."
"109","categorizedTweets11_22_2017_2753","Accident at kangundo road near shell motor cycle driver head dead...traffic cops on side.","Yes",NA,NA,"Kangudo road","kangundo road","Shell","shell"
"110","categorizedTweets11_22_2017_277","Mombasa rd clear from tao to cabanas.","No",NA,NA,"Mombasa rd","Mombasa road","Cabanas","City cabanas"
"111","categorizedTweets11_22_2017_280","This is Benin Auchi road. it's a federal road that links the States together.","No",NA,NA,"None","Benin Auchi road","None","None"
"112","categorizedTweets11_22_2017_2826","It�ۡ���s a mess...all began at the bypass,small accident tha","Yes",NA,NA,"bypass","None","None","None"
"113","categorizedTweets11_22_2017_283","A kenya mpya bus has overturned opposite guru nanak  hospital","Yes",-1.2692805,36.83224733,"None","None","Guru nanak Hospital","guru nanak  hospital"
"114","categorizedTweets11_22_2017_288","Avoid drunk driving...this occupants escaped death by a whisker","No",NA,NA,"None","None","None","None"
"115","categorizedTweets11_22_2017_289","Kenya mpya drivers have to be vetted.","No",NA,NA,"None","None","None","None"
"116","categorizedTweets11_22_2017_292","PUBLIC service VEHICLES in Nairobi are a crime den","No",NA,NA,"None","None","None","None"
"117","categorizedTweets11_22_2017_294","#KBW669E a navy Prado just hit me and run at Thome. Find help me this b*tch so rude.","Yes",NA,NA,"None","None","None","Thome."
"118","categorizedTweets11_22_2017_2950","Thika road at Pangani outbound standstill Accident ahead probably.","No",NA,NA,"Thika Road","Thika road","None","Pangani outbound"
"119","categorizedTweets11_22_2017_296","Very reckless and bad mannered Kenya Mpya crew have always been on the wrong side of hi","No",NA,NA,"None","None","None","None"
"120","categorizedTweets11_22_2017_299","Meja is weak and incompetent on matters road safety","No",NA,NA,"None","None","None","None"
"121","categorizedTweets11_22_2017_3","usual 50kph congregation at Nairobi School outbound.","No",NA,NA,"None","None","Nairobi School","Nairobi School"
"122","categorizedTweets11_22_2017_302","I almost got knocked down by a car on Ngong road. Very shaken right now.","No",NA,NA,"Ngong road","Ngong road","None","None"
"123","categorizedTweets11_22_2017_305","What have you just said here?","No",NA,NA,"None","None","None","None"
"124","categorizedTweets11_22_2017_306","is #Naija. Who is complaining #Kenyan Roads are bad?","No",NA,NA,"None","None","None","None"
"125","categorizedTweets11_22_2017_309","Kenya Mpya .so serious for many years. And have really done nothing about","No",NA,NA,"None","None","None","None"
"126","categorizedTweets11_22_2017_314","who are the owners of Kenya mpya accident prone buses lets start from here","No",NA,NA,"None","None","None","None"
"127","categorizedTweets11_22_2017_315","Kenya Mpya Even Beat Githurai at their Speed Hizo Basi Hukonda But idk maybe ju ya TLB","No",NA,NA,"None","None","None","None"
"128","categorizedTweets11_22_2017_316","[Kenya Mpya] They like doing maneuvers the way Kenya Air Force pilots do on national d","No",NA,NA,"None","None","None","None"
"129","categorizedTweets11_22_2017_317","Residents have barricaded Ukunda  Msambweni road near Kona ya Musa","No",NA,NA,"Ukunda-Msambweni road","Ukunda  Msambweni road","Kona ya Musa","Kona ya Musa"
"130","categorizedTweets11_22_2017_320","I want to get to CID headquarters, from survey, must I go up to pangani for the turn???","No",NA,NA,"None","None","CID headquaters","CID headquarters;survey; pangani"
"131","categorizedTweets11_22_2017_321","_̪���how safe is it?Chassis could be weak","No",NA,NA,"None","None","None","None"
"132","categorizedTweets11_22_2017_323","Surely why is there so much traffic on waiyaki way outbound Nairobi?. On a Sunday? Where are y'all going?","No",NA,NA,"Waiyaki way","waiyaki way","None","None"
"133","categorizedTweets11_22_2017_3247","terrible accident near Kabati kenol.. Nairobi bound lane..a family stuck in the Mercedes wreck","Yes",NA,NA,"Nairobi bound lane","None","None","Kabati kenol"
"134","categorizedTweets11_22_2017_3257","There is an accident on Thika road service lane to Town before Roysambu footbridge traffic  slow there....","Yes",-1.21672625,36.89435125,"Thika road","Thika road","Roysambu footbridge","Roysambu footbridge"
"135","categorizedTweets11_22_2017_3264","A very bad accident near Kabati on Thika- Muranga road the Nyeri","Yes",NA,NA,"Thika-Muranga road","Thika- Muranga road","None","Kabati"
"136","categorizedTweets11_22_2017_329","#KBV476Q shame on you for throwing two plastic bottles out your window onto the highway!!!!","No",NA,NA,"None","None","None","None"
"137","categorizedTweets11_22_2017_330","what's happening past Limuru headed to Nairobi on the great Wall.Stuck for 30mins now!","No",NA,NA,"None","None","Great wall","Limuru"
"138","categorizedTweets11_22_2017_338","Ngong Road Moving Slow frm The Junction","No",NA,NA,"Ngong road","Ngong Road","The Junction","The Junction Mall"
"139","categorizedTweets11_22_2017_339","The problem to traffic jam and chaos in CBD is","No",NA,NA,"None","None","None","None"
"140","categorizedTweets11_22_2017_3437","A head on collision b4 Yaya, near Chaka rd between a matatu &amp; a private car; caution!","Yes",NA,NA,"Chaka rd","Chaka road","None","Yaya centre"
"141","categorizedTweets11_22_2017_344","axident in juja road","Yes",NA,NA,"Juja road","juja road","None","None"
"142","categorizedTweets11_22_2017_3445","Accident outside uhuru gardens Langata Road.","Yes",-1.323673,36.799119,"Langata Rd","Langata Road.","Uhuru gardens","uhuru gardens"
"143","categorizedTweets11_22_2017_346","Rironi area along Naivasha Nairobi Highway quite slow. Avoid this section if in a place to","No",NA,NA,"Naivasha-Nairobi Highway","Naivasha Nairobi Highway","None","Rironi area"
"144","categorizedTweets11_22_2017_348","Upon reaching Kamandura... Use, the deflection towards St Paul university for anyone","No",NA,NA,"None","None","St. pauls university","St Paul university"
"145","categorizedTweets11_22_2017_35","ojijo road into westlands is a mess. 1St parklands avenue too","No",NA,NA,"Ojijo road;1st parklands avenue","ojijo road ;1St parklands avenue","None","westlands"
"146","categorizedTweets11_22_2017_351","If you have a good view of how railyway was r","No",NA,NA,"None","None","None","None"
"147","categorizedTweets11_22_2017_352","update za waiyaki wy please","No",NA,NA,"Waiyaki way","waiyaki way","None","None"
"148","categorizedTweets11_22_2017_359","Campaign truck at Githurai bridge, tweeting from the pocket","No",NA,NA,"None","None","Githurai bridge","Githurai bridge"
"149","categorizedTweets11_22_2017_360","Accident Alert: an accident reported at KAPA, Msa Rd. One fatality reported and another","Yes",-1.3655185,36.91169908,"Msa Rd","Mombasa Road","KAPA","KAPA,"
"150","categorizedTweets11_22_2017_3660","Army trailer carrying a tanker overturn few meters from Governor accident yesterday at KenolKabati #GodHaveMercy","Yes",NA,NA,"KenolKabati","None","None","KenolKabati"
"151","categorizedTweets11_22_2017_369","Msa Rd Ni clear ....Nairobians wameenda ushago Nini!","No",NA,NA,"Msa Rd","Mombasa Road","None","None"
"152","categorizedTweets11_22_2017_3696","Accident near Gateway Mall affecting inbound traffic from Syokimau to town.","Yes",NA,NA,"None","None","Gateway Mall","Gateway Mall"
"153","categorizedTweets11_22_2017_37","Mombasa road, inbound and outbound looks mad.... Especially at this airtel area","No",NA,NA,"Mombasa road","Mombasa road","None","airtel area"
"154","categorizedTweets11_22_2017_3704","#KOT accident on the southern bypass, just past kikuyu towards Nairobi, slow down","Yes",NA,NA,"Southern bypass","Southern bypass","None","None"
"155","categorizedTweets11_22_2017_3738","Accident on Msa road after Daystar University towards Machako","Yes",NA,NA,"Msa Rd","Mombasa road","Daystar University","Daystar Universit"
"156","categorizedTweets11_22_2017_376","Lungalunga rd coming in from Donholmn down Likoni Jogoo is moving well.Keep peace wh","No",NA,NA,"Lungalunga rd","Lungalunga road ;Likoni Jogoo road","None","Donholmn"
"157","categorizedTweets11_22_2017_3768","Terrible accident at Daystar.start reorgani","Yes",NA,NA,"None","None","Daystar","Daystar"
"158","categorizedTweets11_22_2017_377","Traffic Update:Situation at Wilson Airport on Langata Rd","No",NA,NA,"Langata Rd","Langata Road","Wilson Airport","Wilson Airport"
"159","categorizedTweets11_22_2017_3796","Accident past roysambu on your way to githurai, use service lane","Yes",NA,NA,"None","roysambu","None","githurai"
"160","categorizedTweets11_22_2017_3797","accident Thika road between Githurai and Roysamb","Yes",NA,NA,"Thika road","Thika road","None","between Githurai and Roysamb"
"161","categorizedTweets11_22_2017_38","Traffic gitanga -james gichuru junction road construction assurance diversion","No",NA,NA,"None","gitanga -james gichuru junction road","Gitanga-James gichuru junction","None"
"162","categorizedTweets11_22_2017_380","Traffic Update : Mbagathi Way at HighRise looking Clear Inbound","No",-1.31397875,36.80754,"Mbagathi Way","Mbagathi Way","None","HighRise"
"163","categorizedTweets11_22_2017_3804","heavy traffic jam from roysambu overpass due to a grizzly accident... motorists are adviced to use the service lane.","Yes",NA,NA,"None","roysambu overpass","None","None"
"164","categorizedTweets11_22_2017_3818","Thika Rd - outbound blocked by an accident past Roysambu. Use the service lane!","Yes",NA,NA,"Thika Rd","Thika Road","None","Roysambu"
"165","categorizedTweets11_22_2017_383","Thika road hapa muthaiga bamba sana","No",NA,NA,"Thika road","Thika road","None","muthaiga"
"166","categorizedTweets11_22_2017_384","jam so slow going to Town in Allsopps Folks!","No",NA,NA,"None","None","None","Allsopps"
"167","categorizedTweets11_22_2017_385","Traffic Update: _̪__ Ngong Rd as you approach Hospital Rd Junction ,slow but Moving","No",NA,NA,"Ngong road","Ngong Road","Hospital Rd Junction","Hospital Road Junction"
"168","categorizedTweets11_22_2017_390","Mombasa rd from simba cement towards SGR Athi river traffic is flowing smoothly both lines","No",NA,NA,"Mombasa rd","Mombasa road","Simba cement;SGR Athir river","simba cement towards SGR Athi river"
"169","categorizedTweets11_22_2017_393","HaileSelassie avenue &amp; Uhuru highway moving","No",NA,NA,"Haile Selassie avenue;Uhuru Highway","HaileSelassie :Uhuru highway","None","None"
"170","categorizedTweets11_22_2017_3939","Heavy traffic along Kiambu road, 2 accidents as you head to Kiambu","Yes",NA,NA,"Kiambu road","Kiambu road","None","None"
"171","categorizedTweets11_22_2017_395","Gari za kuenda Savannah Estate, Donholm inapandiwa wapi, when in Town","No",NA,NA,"None","None","Savannah Estate","Savannah Estate, Donholm"
"172","categorizedTweets11_22_2017_396","Langata rd is a parking lot all the way from carnivore","No",NA,NA,"Lanagata Road","Langata road","Carnivore","carnivore"
"173","categorizedTweets11_22_2017_400","Hown is Thika road especially Allsops into town? Anyone that side","No",NA,NA,"Thika road","Thika road","None","Allsops"
"174","categorizedTweets11_22_2017_406","Uon roundabout from westlands is packed past Kempinski","No",NA,NA,"None","None","Kempinski","Uon roundabout;Kempinski"
"175","categorizedTweets11_22_2017_4069","accident after muthaiga round about heading to town,Limuru rd","Yes",NA,NA,"Limuru rd","Limuru road","None","muthaiga round about"
"176","categorizedTweets11_22_2017_407","# enterprise rd almost clear","No",NA,NA,"enterprise road","Enterprise road","None","None"
"177","categorizedTweets11_22_2017_4070","accident on Limuru Road near Muthaiga Min-Market. Approach carefully.","Yes",-1.249867,36.820758,"Limuru Road","Limuru Road","Muthaiga Min-Market","near Muthaiga Min-Market."
"178","categorizedTweets11_22_2017_4081","accident on limuru road. Just before muthaiga.","Yes",NA,NA,"Limuru road","limuru road.","None","muthaiga."
