"","DATE","DAY","TIME 24 HOURS","BASE/SUB BASE","COUNTY","ROAD","PLACE","TYPE OF VEHICLE","BRIEF ACCIDENT DETAILS","GENDER","AGE","CAUSE CODE","VICTIM","NO.","id"
"20",2017-05-08,"MONDAY","2030","MACHAKOS","MACHAKOS","NAIROBI- MOMBASA","VISTA AREA","PSV & COMMERCIAL","MINI BUS RAMMED INTO THE REAR OF THE ACTROS LORRY WHERE BOTH M/V STOPPED AND THE DRIVERS WHERE SORTING OUT,THE SAID AXEL LORRY WHOSE DRIVER ESCAPED AFTER THE ACCIDENT RAMMED INTO THE ACTROS LORRY FORCING IT TO HIT THE DRIVER OF THE MINI BUS AND ONE M/A PASSENGER KILLING THEM ON THE SPOT.","M","A",29,"DRV",1,"54_20170501_20171231"
"21",2017-05-08,"MONDAY","2030","MACHAKOS","MACHAKOS","NAIROBI- MOMBASA","VISTA AREA","PSV & COMMERCIAL","MINI BUS RAMMED INTO THE REAR OF THE ACTROS LORRY WHERE BOTH M/V STOPPED AND THE DRIVERS WHERE SORTING OUT,THE SAID AXEL LORRY WHOSE DRIVER ESCAPED AFTER THE ACCIDENT RAMMED INTO THE ACTROS LORRY FORCING IT TO HIT THE DRIVER OF THE MINI BUS AND ONE M/A PASSENGER KILLING THEM ON THE SPOT.","M","A",29,"PAS",1,"55_20170501_20171231"
"22",2017-05-08,"MONDAY","325","STAREHE","NAIROBI","JUJA ROAD","NEAR HURUMA FLATS","UNKNOWN","M/V KNOCKED DOWN UNKNOWN M/A PEDESTRIAN KILLING KIM ON THE SPOT","M","A",98,"PED",1,"57_20170501_20171231"
"23",2017-05-08,"MONDAY","320","KASARANI","NAIROBI","THOME-MARURUI","NEAR NAIVAS T- JUNCTION","MOTOR CYCLE","M/V HIT A M/CYCLE KILLING THE DRIVER ON THE SPOT AND DID NOT SPOT.","M","30",8,"MCY",1,"58_20170501_20171231"
"24",2017-05-09,"TUESDAY","2130","KIKUYU","KIAMBU","NAIROBI-NAIVASHA","GITARU AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","49",68,"PED",1,"64_20170501_20171231"
"25",2017-05-09,"TUESDAY","2320","LANGATA","NAIROBI","LANGATA ROAD","NEAR DELIVERANCE CHURCH","MOTOR CYCLE","THE MOTOR CYCLE LOST CONTROL HITTING A PERIMETER WALL","M","A",98,"MCY",1,"66_20170501_20171231"
"26",2017-05-10,"WEDNESDAY","1310","KITENGELA","KAJIADO","NAMANGA","NEAR CLUB ENKARE","COMMERCIAL & PRIVATE","HEAD ON COLLISION","M","24",8,"PAS",1,"69_20170501_20171231"
"27",2017-05-10,"WEDNESDAY","930","KITENGELA","KAJIADO","NAMANGA","NEAR KOBIL PETROL STATION","UNKNOWN","HIT & RUN","M","A",60,"PED",1,"70_20170501_20171231"
"28",2017-05-10,"WEDNESDAY","130","LARI","KIAMBU","NAIVASHA-MAIMAHIU","NEAR NGUBI PETROL STATION","COMMERCIAL","THE CANTER RAMMED INTO THE REAR OF THE TRAILER","M","A",29,"DRV",1,"73_20170501_20171231"
"29",2017-05-10,"WEDNESDAY","130","LARI","KIAMBU","NAIVASHA-MAIMAHIU","NEAR NGUBI PETROL STATION","COMMERCIAL","THE CANTER RAMMED INTO THE REAR OF THE TRAILER","M","A",29,"PAS",1,"74_20170501_20171231"
"30",2017-05-11,"THURSDAY","1200","STAREHE","NAIROBI","JUJA ROAD","NEAR MLANGO KUBWA AREA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","62",30,"PED",1,"78_20170501_20171231"
"31",2017-05-12,"FRIDAY","730","KIKUYU","KIAMBU","KIKUYU-WANGIGE","KINGEERO AREA","PRIVATE","THE VEHICLE LOST CONTROL VEERING OFF THE ROAD","F","45",11,"PED",1,"81_20170501_20171231"
"32",2017-05-12,"FRIDAY","2230","KIKUYU","KIAMBU","LOWER KABETE","KINGEERO AREA","UNKNOWN","HIT & RUN","M","33",11,"PED",1,"83_20170501_20171231"
"33",2017-05-12,"FRIDAY","17","DAGORETI","NAIROBI","WAIYIAKI WAY","NEAR N MARKET","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","27",98,"PED",1,"84_20170501_20171231"
"34",2017-05-12,"FRIDAY","2345","GATUNDU","KIAMBU","ITURAMIRO-KIBIRU MURRAM ROAD","KIBIRU TRADING CENTER","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",26,"PED",1,"85_20170501_20171231"
"35",2017-05-12,"FRIDAY","1955","MATUU","MACHAKOS","MATUU-THIKA","YATTA GK PRISONS AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","48",61,"PED",1,"86_20170501_20171231"
"36",2017-05-12,"FRIDAY","2045","ATHI RIVER","MACHAKOS","NAIROBI -MOMBASA","KITENGELA INTERCHANGE","MOTOR CYCLE & COMMERCIAL","THE PICK UP HIT THE MOTOR CYCLE","M","A",37,"PIL",1,"87_20170501_20171231"
"37",2017-05-13,"SATURDAY","900","KANDARA","MURANGA","KANDARA- KITHIMA","KIGUOYA AREA","UNKNOWN","M/V HIT ONE PERSON KILLING HIM INSTANTLY.","M","36",98,"PED",1,"89_20170501_20171231"
"38",2017-05-13,"SATURDAY","20","DTEO EMBAKASI","NAIROBI","NORTH AIRPORT","NEAR OIL- LIBYA PETROL STN","UNKNOWN","UNKNOWN M/V HIT ONE PERSON CROSSING THE ROAD KILLING HIM ON THE SPOT.","M","30",98,"PED",1,"94_20170501_20171231"
"39",2017-05-13,"SATURDAY","230","DTEO INDO- AREA","NAIROBI","MOMBASA ROAD","NEAR STD GROUP","PRIVATE","M/V DRIVER LOST CONTROL AND ROLLED LANDING INTO A DITCH.DRIVER DIED ON THE SPOT.","M","A",26,"DRV",1,"95_20170501_20171231"
"40",2017-05-14,"SUNDAY","1000","EMBAKASI","NAIROBI","MOMBASA ROAD","NEAR MOMBASA ROAD- EMBAKASI ROAD JUNCTION","PRIVATE","M/V DRIVER DUE TO HIGH SPEED LOST CONTROL VEERING OFF THE ROAD KNOCKING DOWN A M/A PEDESTRIAN KILLING HIM ON THE SPOT.","M","30",29,"PED",1,"96_20170501_20171231"
"41",2017-05-14,"SUNDAY","1730","ISINYA","KAJIADO","NAMANGA- KITENGELA","NEAR GULF PETROL STATION","MOTOR CYCLE & TUKTUK","TUKTUK WAS HIT BY THE M/CYCLE WHICH WAS OVERLAPPING WHERE THE M/CYCLIST DIED WHILE UNDERGOING TREATMENT.","M","A",45,"MCY",1,"99_20170501_20171231"
"42",2017-05-14,"SUNDAY","1730","STAREHE","NAIROBI","THIKA SUPERHIGHWAY","NEAR MUTHAIGA FOOT BRIDGE","PRIVATE","M/V KNOCKED DOWN UNKNOWN M/A PEDESTRIAN KILLING HIM ON THE SPOT.","M","A",63,"PED",1,"100_20170501_20171231"
"43",2017-05-14,"SUNDAY","2245","ATHI RIVER","MACHAKOS","NAIROBI- MOMBASA","NEAR GREEN PARK AREA","GOVERNMENT & COMMERCIAL","M/V COLLUDED HEAD ON WITH A TRAILOR WHERE ON F/A PASSENGER AND M/V DRIVER DIED ON THE SPOT.","M AND F","34 AND 24",10,"DRV",1,"102_20170501_20171231"
"44",2017-05-14,"SUNDAY","2245","ATHI RIVER","MACHAKOS","NAIROBI- MOMBASA","NEAR GREEN PARK AREA","GOVERNMENT & COMMERCIAL","M/V COLLUDED HEAD ON WITH A TRAILOR WHERE ON F/A PASSENGER AND M/V DRIVER DIED ON THE SPOT.","M AND F","34 AND 24",10,"PAS",1,"103_20170501_20171231"
"45",2017-05-14,"SUNDAY","2330","EMBAKASI","NAIROBI","MOMBASA ROAD","NEAR AIRPORT JUNCTION","PRIVATE & MOTOR CYCLE","M/V RAMMED INTO THE REAR OF THE M/CYCLE WHERE TWO PEOPLE DIED.","M","A",29,"MCY",1,"104_20170501_20171231"
"46",2017-05-14,"SUNDAY","2330","EMBAKASI","NAIROBI","MOMBASA ROAD","NEAR AIRPORT JUNCTION","PRIVATE & MOTOR CYCLE","M/V RAMMED INTO THE REAR OF THE M/CYCLE WHERE TWO PEOPLE DIED.","M","A",29,"PIL",1,"105_20170501_20171231"
"47",2017-05-14,"SUNDAY","1900","MATUU","MACHAKOS","KIVANINI- MASINGA","MUSINGINI AREA","MOTOR CYCLE","M/CYCLIST HIT A HIP OF SOIL, LOST CONTROL VEERING OFF THE ROAD AND LANDED INTO A DITCH WHERE HE DIED ON THE SPOT.","M","29",26,"MCY",1,"106_20170501_20171231"
"48",2017-05-17,"WEDNESDAY","5","RUIRU","KIAMBU","THIKA SUPERHIGHWAY","GITHURAI OVERPASS","PRIVATE","N/V HIT THE OX-CART KILING THE CART DRIVER ON THE SPOT.","F","24",60,"PED",1,"119_20170501_20171231"
"49",2017-05-17,"WEDNESDAY","0","KIAMBU","KIAMBU","RUAKA-RUIRU","NJATHAINI AREA","COMMERCIAL & PRIVATE","P/UP COLLIDED HEAD ON WITH THE TRAILER AND AS A RESULT THE DRIVER OF THE P/UP DIED ON THE SPOT.","M","36",98,"DRV",1,"120_20170501_20171231"
"50",2017-05-17,"WEDNESDAY","2310","ATHIRIVER","MACHAKOS","NAIROBI-MOMBASA","MTOMAWE AREA","PSV & COMMERCIAL","MATATU HIT THE TRAILER AND AS RESULT UNKNOWN M/A PASSENGER DIED ON THE SPOT","M","A",10,"PAS",1,"121_20170501_20171231"
"51",2017-05-18,"THURSDAY","2000","MACHAKOS","MACHAKOS","MACHAKOS-HUDUMA CENTRE","NEAR MAKAMITHI TRADING CENTRE","COMMERCIAL","THE VEHICLEKNOCKED DOWN THE VICTIM","M","40",16,"PED",1,"123_20170501_20171231"
"52",2017-05-19,"FRIDAY","630","NAMANGA","KAJIADO","NAMANGA- KAJIADO","NEAR NGATATAEK TOWN","UNKNOWN","M/V KILLED A M/A PEDESTRIAN KILLING HIM ON THE SPOT.","M","63",61,"PED",1,"124_20170501_20171231"
"53",2017-05-19,"FRIDAY","730","KIAMBU","KIAMBU","NORTHERN BY- PASS","KAMAE AREA","MOTOR CYCLE & PRIVATE","M/V DRIVER HIT A M/CYCLIST WHO DIED ON THE SPOT.","M","32",22,"MCY",1,"125_20170501_20171231"
"54",2017-05-20,"SATURDAY","600","DTEO STAREHE","NAIROBI","THIKA SUPERHIGHWAY","NEAR JUBILEE HOUSE","UNKNOWN","M/V HIT UNKNOWN M/A/PEDESTRIAN WHO WAS CROSING THE ROAD FROM L-R KILLING HIM INSTANTLY.","M","A",98,"PED",1,"132_20170501_20171231"
"55",2017-05-20,"SATURDAY","1410","ATHI RIVER","MACHAKOS","NAIROBI- MOMBASA","BRIDGE 39 AREA","COMMERCIAL & PRIVATE","DRIVER WAS OVERTAKING CARELESSLY AND IN THE PROCCESS COLLUDED HEAD ON WITH THE SAID M/BENZ.DRIVER OF TOYOTA COROLLA DIED ON THE SPOT.","M","A",10,"DRV",1,"134_20170501_20171231"
"56",2017-05-21,"SUNDAY","1200","KARURI","KIAMBU","BANANA- RUAKA","KIGWARU AREA","MOTOR CYCLE & PRIVATE & PSV","M.CYCLIST RAMMED INTO THE REAR OF THE SAID VITS AND DUE TO IMPACT THE RIDER WAS THROWN ON THE RIGHT SIDE OF THE ROAD WHERE HE WAS HIT BY THE MATATU AND DIED ON THE SPOT.","M","31",77,"MCY",1,"140_20170501_20171231"
"57",2017-05-21,"SUNDAY","1700","RUIRU","KIAMBU","THIKA SUPERHIGHWAY","KIHUNGURO OVERPASS","PSV","BUS DRIVER KNOCKED DOWN M/A PEDESTRIAN SUSTAINED SERIOUS INJURIES AND DIED IN HOSPITAL","M","A",60,"PED",1,"141_20170501_20171231"
"58",2017-05-21,"SUNDAY","1720","KITENGELA","KAJIADO","NAMANGA- KITENGELA","CHUNA RD JUNCTION","MOTOR CYCLE & COMMERCIAL","LORRY  WAS HIT FROM THE REAR BY THE SAID M/CYCLE WHICH WAS NOT FOUND AT THE SCENE CARRYING A M/A P/PASSENGER WHO FALL ON THE ROAD SUSTAINING SERIOUS INJUIRIES AND DIED ON THE WAY TO HOSPITAL","M","20",37,"PIL",1,"142_20170501_20171231"
"59",2017-05-22,"MONDAY","1700","RUIRU","KIAMBU","THIKA SUPERHIGHWAY","KIHUNGURO OVERPASS","PSV","BUS DRIVER KNOCKED DOWN M/A PEDESTRIAN SUSTAINED SERIOUS INJURIES AND DIED IN HOSPITAL","M","A",60,"PED",1,"148_20170501_20171231"
"60",2017-05-22,"MONDAY","1720","KITENGELA","KAJIADO","NAMANGA- KITENGELA","CHUNA RD JUNCTION","COMMERCIAL & MOTOR CYCLE","LORRY  WAS HIT FROM THE REAR BY THE SAID M/CYCLE WHICH WAS NOT FOUND AT THE SCENE CARRYING A M/A P/PASSENGER WHO FALL ON THE ROAD SUSTAINING SERIOUS INJUIRIES AND DIED ON THE WAY TO HOSPITAL","M","20",37,"PIL",1,"149_20170501_20171231"
"61",2017-05-23,"TUESDAY","530","MAKONGENI","NAIROBI","JOGOO ROAD","NEAR MAKADARA FOOTBRIDGE","PSV","M/V KNOCKED DOWN UNKNOWN M/A PEDESTRIAN KILLING HIM ON THE SPOT.","M","A",98,"PED",1,"153_20170501_20171231"
"62",2017-05-23,"TUESDAY","1230","STAREHE","NAIROBI","KIAMBU ROAD","NEAR CID HQS","PRIVATE","UNIDENTIFIED M/V LOST CONTROL VEERING OFF THE ROAD AND LANDED INTO KARURA RIVER KILLING THE DRIVER ON THE SPOT.","M","A",98,"DRV",1,"154_20170501_20171231"
"63",2017-05-24,"WEDNESDAY","1230","STAREHE","NAIROBI","KIAMBU ROAD","NEAR CID HQS","PRIVATE","M/V LOST CONTROLVEERING OFF THE ROAD AND LANDED ON KARURA RIVER KIILING THE DRIVER ON THE SPOT","M","A",98,"PAS",1,"161_20170501_20171231"
"64",2017-05-24,"WEDNESDAY","2130","NGOLIBA","KIAMBU","THIKA- MATUU","KILIMAMBOGO","COMMERCIAL","M/V COLLUDED WITH A LAND ROVER ONE PERSON DIED.","M","A",8,"PAS",1,"164_20170501_20171231"
"65",2017-05-25,"THURSDAY","900","TIGONI","KIAMBU","KABUKU-RUAKA","LOWER KABURU","COMMERCIAL","THE LORRY LOST CONTROL, VEERING OFF THE ROAD AND ROLLED SEVERAL TIMES","M","A",26,"PAS",1,"168_20170501_20171231"
"66",2017-05-25,"THURSDAY","2130","MAKUYU","MURANGA","KENOL-SAGANA","MLIMA SWARA AREA","PRIVATE & PSV","THE COROLLA COLLIDED WITH THE TWO MATATUS","M&F","A",8,"DRV",1,"171_20170501_20171231"
"67",2017-05-25,"THURSDAY","2130","MAKUYU","MURANGA","KENOL-SAGANA","MLIMA SWARA AREA","PRIVATE & PSV","THE COROLLA COLLIDED WITH THE TWO MATATUS","M&F","A",8,"PAS",4,"172_20170501_20171231"
"68",2017-05-26,"FRIDAY","745","JUJA","KIAMBU","THIKA- NAIROBI","JUJA","PRIVATE","M/V HIT A PEDESTRIAN AND DIED","M","A",67,"PED",1,"175_20170501_20171231"
"69",2017-05-26,"FRIDAY","1930","KAREN","NAIROBI","KAREN ROAD","KENYA DEFENCE COLLEGE","MOTOR CYCLE","M/CYCLIST COLLUDED WITH A M/V AND DIED ON THE SPOT.","M","A",10,"MCY",1,"179_20170501_20171231"
"70",2017-05-26,"FRIDAY","2300","INDO AREA","NAIROBI","LUNGA LUNGA ROAD","LEAKY AUTIONEERS","PRIVATE","M/V DRIVER HIT AND FATALLY INJURED ONE PASSENGER.","M","A",98,"PED",1,"181_20170501_20171231"
"71",2017-05-27,"SATURDAY","700","RUIRU","KIAMBU","KAHAWA SUKARI-MWIHOKO","KIU RIVER","PRIVATE","M/V DRIVER LOST CONTROL VEERING OFF THE ROAD AND PLUNGED INTO THE RIVER KILLING THE DRIVER ON THE SPOT","M","37",98,"DRV",1,"182_20170501_20171231"
"72",2017-05-27,"SATURDAY","845","KIAMBU","KIAMBU","KIAMBU- RUIRU","NEAR THE MOSQUE","PRIVATE","M/V LOST CONTROL HITTING A PERSON WHO DIED ON THE SPOT.","M","41",26,"PED",1,"183_20170501_20171231"
"73",2017-05-27,"SATURDAY","2100","KIKUYU","KIAMBU","SOUTHERN BY PASS","KIKIYU TOWN","PRIVATE","M/V HIT DOWN A PERSON KILLING HIM ON THE SPOT.","M","40",68,"PED",1,"186_20170501_20171231"
"74",2017-05-28,"SUNDAY","600","DTEO EMBAKASI","NAIROBI","EASTERN BY PA\SS","NEAR APTC","PRIVATE & COMMERCIAL","NISSAN SALLON OVERTOOK WITHOUT CARE COLLUDING HEAD ON WITH A CANTER HENCE THE CANTER RAMMED ONTO A SUBARU.2 PEOPLE DIED ON THE SPOT.","M","A",10,"DRV",2,"191_20170501_20171231"
"75",2017-05-28,"SUNDAY","2115","DTEO STAREHE","NAIROBI","THIKA","UTALLI DRIFT","UNKNOWN","M/V KNOCKED DOWN A PERSON WHO DIED ON THE SPOT.","M","A",98,"PED",1,"198_20170501_20171231"
"76",2017-05-28,"SUNDAY","50","ATHI RIVER","MACHAKOS","NAIROBI- MSA","EVEREST AREA","PRIVATE","M/V LOST CONTROL COLLUDING HEAD ON WITH A TRAILOR  KILLING TWO PEOPLE ON THE SPOT.","M","A",8,"DRV",1,"204_20170501_20171231"
"77",2017-05-28,"SUNDAY","50","ATHI RIVER","MACHAKOS","NAIROBI- MSA","EVEREST AREA","PRIVATE","M/V LOST CONTROL COLLUDING HEAD ON WITH A TRAILOR  KILLING TWO PEOPLE ON THE SPOT.","M","A",8,"MCY",1,"205_20170501_20171231"
"78",2017-05-29,"MONDAY","1140","ONGATA RONGAI","KAJIADO","NAIROBI KISERIAN","FATIMA","UNKNOWN","THE VEHICLE VEERED OFF THE ROAD","M","A",26,"MCY",1,"207_20170501_20171231"
"79",2017-05-30,"TUESDAY","1120","DTEO MAKONGENI","NAIROBI","LANDHIES","JUA KALI INDUSTRY","PSV","THE VICTIM FELL DOWN WHEN ALIGHTING FROM THE VEHICLE AND WAS RUN OVER BY THE VEHICLE","M","25",70,"PAS",1,"209_20170501_20171231"
"80",2017-05-30,"TUESDAY","830","MATUU","MACHAKOS","MATUU MWINGI","NEAR KITHIOKO MARKET","UNKNOWN","HIT AND RUN","M","40",98,"PED",1,"210_20170501_20171231"
"81",2017-05-31,"WEDNESDAY","600","EMBAKASI","NAIROBI","NORTH AIRPORT","BUSINESS PARK","UNKNOWN","M/V HIT A PERSON CROSSING THE ROAD.","M","A",98,"PED",1,"213_20170501_20171231"
"82",2017-05-31,"WEDNESDAY","1330","LARI","KIAMBU","UPLANDS- GITHUNGURI","KWAFANDE","COMMERCIAL","M/V HIT A DONKEY, TWO PEOPLE WERE INJURED.","M","A",29,"PAS",1,"216_20170501_20171231"
"83",2017-05-31,"WEDNESDAY","2100","STAREHE","NAIROBI","OUTERING ROAD","SHELL","PSV","M/V HIT A PEDESTRIAN CROSSING THE ROAD","F","35",10,"PED",1,"219_20170501_20171231"
"84",2017-05-31,"WEDNESDAY","2300","KIKUYU","KIAMBU","NAIVASHA- NAIROBI","MUTHIGA","UNKNOWN","M/V KNOCKED DOWN ONE PERSON AND DIED ON THE SPOT.","M","A",98,"PED",1,"222_20170501_20171231"
"85",2017-06-01,"THURSDAY","1140","DTEO INDO AREA","NAIROBI","UNKNOWN","UNKNOWN","UNKNOWN","M/V HIT A PERSON WHO DIED ON THE SPOT.","M","58",98,"PED",1,"223_20170501_20171231"
"86",2017-06-02,"FRIDAY","1140","DTEO INDO AREA","NAIROBI","UNKNOWN","UNKNOWN","UNKNOWN","M/V HIT M/A/PEDESTRIAN. DIED ON THE SPOT","M","58",98,"PED",1,"226_20170501_20171231"
"87",2017-06-02,"FRIDAY","1010","KAYOLE","NAIROBI","KANGUNDO RD","ACACIA","COMMERCIAL","M/V HIT PEDESTRIAN. DIED ON THE SPOT.","M","A",60,"PED",1,"229_20170501_20171231"
"88",2017-06-02,"FRIDAY","845","KIAMBU","KIAMBU","NORTHERN BYPASS","KAMAE","PSV","M/V HIT PEDESTRIAN. DIED ON THE SPOT.","M","A",60,"PED",1,"230_20170501_20171231"
"89",2017-06-02,"FRIDAY","900","KAREN","NAIROBI","SOUTHERN-BYPASS","DAGORETTI","UNKNOWN","M/V HIT A PEDESTRIAN. DIED ON THE SPOT","M","A",98,"PED",1,"232_20170501_20171231"
"90",2017-06-03,"SATURDAY","1100","KIKUYU","KIAMBU","WANGIGE KIKUYU RD","GITARU","COMMERCIAL","THE VICTIM FELL DOWN FROM THE VEHICLE","M","39",70,"PAS",1,"234_20170501_20171231"
"91",2017-06-03,"SATURDAY","840","KITENGELA","KAJIADO","NAMANGA RD","JUNCTION TO SAITOTI OSTRICH FARM","PRIVATE & MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE MOTOR CYCLIST","M","30",52,"MCY",1,"235_20170501_20171231"
"92",2017-06-03,"SATURDAY","2245","DTEO KAYOLE","NAIROBI","KANGUNDO ROAD","NEAR SLAUGHTER AREA","UNKNOWN","HIT AND RUN","M","22",98,"PED",1,"240_20170501_20171231"
"93",2017-06-04,"SUNDAY","2330","MACHAKOS","MACHAKOS","MACHAKOS WOTE","MACHAKOS","PRIVATE","HEAD ON COLLISION","M","A",8,"DRV",1,"244_20170501_20171231"
"94",2017-06-04,"SUNDAY","2330","MACHAKOS","MACHAKOS","MACHAKOS WOTE","MACHAKOS","PRIVATE","HEAD ON COLLISION","M/F","A/J",8,"PAS",2,"245_20170501_20171231"
"95",2017-06-05,"MONDAY","1700","ATHI RIVER","MACHAKOS","MOMBASA NAIROBI","NEAR SABAKI AREA","MOTOR CYCLE & COMMERCIAL","THE VEHICLE LOST CONTROL AND HIT THE M/CYCLIST","M","A",9,"PIL",1,"251_20170501_20171231"
"96",2017-06-05,"MONDAY","1730","KAJIADO","KAJIADO","NGONG KIBIKO","NEAR CARNAL NGERE ROAD JUNCTION","PRIVATE & MOTOR CYCLE","HEAD ON COLLISION","M","A",8,"MCY",1,"252_20170501_20171231"
"97",2017-06-05,"MONDAY","1830","MURANGA","MURANGA","MURANGA KIRIANI","MUGEKA AREA","PSV & MOTOR CYCLE","THE VEHICLE COLLIDED HEAD ON WITH THE M/CYCLE","M","23",8,"MCY",1,"254_20170501_20171231"
"98",2017-06-06,"TUESDAY","1730","KAJIADO","KAJIADO","MATASIA-MRISHO","MATASIA","COMMERCIAL","M/V LOST CONTROL AND HIT FOUR M/J/PEDESTRIAN.DIED ON THE SPOT","M","J",26,"PED",4,"258_20170501_20171231"
"99",2017-06-09,"FRIDAY","1300","KILIMANI","NAIROBI","JAMHURI COURT","NEAR HAELEQUINS HOTEL KIBERA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","28",30,"PED",1,"264_20170501_20171231"
